"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","施策","具备条件","西电东","国家","天然林","油田","管理模式","深入人心","安排","经济"
"2","幼儿园","学科建设","蓝天","生态","职业道德","合法","新动力","强有力","进出口","工作"
"3","合资","深圳","列为","机制","获批","层面","区间","保持良好","原则","增长"
"4","支点","多措","资源优势","综合","道路交通","税务","群众路线","轻工","综合治理","社会"
"5","省内","万亿","第六","深化","党的领导","风险投资","发展壮大","应保","援疆","重点"
"6","火区","村务","全国","资金","气象","稀有金属","经常性","南亚","县级","实施"
"7","不折不扣","质量标准","纠纷","保障","到家","财产","叠加","吸纳","用于","农村"
"8","新馆","万座","下放","人民","库容","代表","长效","度假区","继续抓好","改革"
"9","青壮年","酒精","集体企业","收入","价","机构编制","双向","闲置","内","企业"
"10","企业债券","股票","跨上","能力","纠错","克难","合作项目","往来","听取","亿元"
