"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","重点县","经济","惩处","明","补齐","依规","社会","社会福利","工业区","社科","深入群众","优先"
"2","突出位置","工作","多极","费用","倾听","饮水困难","工程","达","抢救","微型","缓慢","统筹兼顾"
"3","产能","增长","总揽全局","篇章","监察","转化率","群众","走向","舞台","首问","新形势下","到户"
"4","亲切","重点","修建","现行","林下","上学","城市","近","宗教政策","新举措","深深","紧紧"
"5","连接","实施","优质棉","危旧","各国","违法违纪","市场","经济运行","门诊","优生优育","炼油厂","侨务"
"6","稳妥","企业","医生","机会","地缘","智库","生活","村点","信息安全","补贴","城建","民族特色"
"7","宜业","提高","财政补贴","变化","儿童医院","标煤","落实","法律手段","回收","网络管理","在城镇","大力加强"
"8","断面","改革","海西","大江","各县","使用权","规划","十分艰巨","强省","缩减","城乡建设","批发市场"
"9","承上启下","亿元","审议","呈现出","不为","盈亏","改造","勤劳","中转","品质","增添","食品安全"
"10","幸福","农村","拥政爱民","一视同仁","所有权","咬定","开放","落地","保障机制","小水电","管理权限","重复"
