"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","清正","注入","工作","出国","县政府","集体企业","终身","红","抑制","制造","经济","理念","强度"
"2","园林","九年制","提高","科技人员","团结互助","财政金融","场","腐败问题","四次","年末","增长","医药","陆上"
"3","基","报业","农村","传递","经得起","示范点","采伐","引擎","蒙古国","热点问题","社会","形式主义","饮用"
"4","双向","扩展","项目","中蒙","国际友人","利用率","复杂性","主通道","玛纳斯","私营","企业","电子政务","施策"
"5","总书记","顽强拼搏","加大","公仆","时有发生","网络体系","广大干部","阿拉善","党代会","传染性","改革","混合","拥有量"
"6","行使权力","神华","生态","番茄","吸引外资","减税","赣抚","发光","以工代赈","很","重点","开通","种粮"
"7","义不容辞","三支","市场","极端化","士兵","禁牧","成绩","物质","捐赠","教师工资","亿元","问责","通高"
"8","土","创业者","投资","沧源","团场","脱硝","高度负责","有序","鲜活","攻","产业","办学条件","推广先进"
"9","富港","随机","基础设施","定向","违法违纪","就近","刑事","手术","夯实","入选","政府","公用事业","责"
"10","调控","市中心","合作","详细","较强","学会","迫切需要","落实工作","抢","华","工程","积极开展","复杂多变"
