"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","调减","饲料","军警民","跨省","生态化","同呼吸","工会","增值税","惩治腐败","工作","重点","提出","强有力","烟","增长","升格"
"2","带头人","区党委","迅猛","思路","代理","支撑力","蔓延","通畅","物流园区","经济","产业","人民满意","泛","特产税","体系","技术标准"
"3","温暖","煤制气","恳谈会","亲临","人口老龄化","走低","专业性","舒适","估计","社会","文化","酒精","长期性","珠","就业","独"
"4","保卫","汶川","信誉","造福","过坎","反","技术","业绩考核","互市","实施","生产","抢","崛起","统筹兼顾","教育","从元"
"5","大河","有限公司","股票","采矿权","基本工资","宏伟","直供","信息网络","薄板","农村","水平","临海","廊","感受","进一步","项目法人"
"6","联体","多出","专项","务工人员","庄严","老口","忠诚","初步","物业","改革","机制","万张","物流园","自贸区","抓好","聚力"
"7","突出重点","农村信用","会风","体育中心","力作","热爱","三要","速生丰产林","外交部","亿元","人民","现行标准","历年","新馆","政府","分配关系"
"8","睦","能效","占","定位","广度","资源性","探索","拥护","除恶","工程","落实","不减","多措","一流大学","完善","地质矿产"
"9","用法","第二条","实践","关键性","供需矛盾","好事","公积金","至罗","文化交流","提高","城镇","发光","兴桂","终端","加大","集中供热"
"10","电话","开发新","航空网","人防","滇西南","经济损失","汉族","分子","第十三届","项目","民族","疾苦","中华人民共和国","取","政策","八次"
