"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","独","客运站","陆续","银山","自然科学","跨","新路","引进","暴力犯罪","年金","国债","工作","一要","力度","篇章","加紧","极"
"2","团结一心","随机","湛江","新上","走私","农牧区","水务","坚守","降到","博物馆","大关","经济","甲型","加大","缩减","重化工","深远"
"3","找准","航站","种养业","百万","检查和","诉求","提高效益","调优","产业链","售假","周","增长","扬尘","人民","复转","博斯腾湖","协议"
"4","规","屏障","关键时期","开拓创新","富","存款","历任","消化","第二次","技工","西气东","社会","氮氧化物","基础设施","军政","入选","市民"
"5","农村信用","富港","降至","看齐","新路子","留守","调研","三品","公务","道德","港澳","重点","服","落实","凡","观","比赛"
"6","资本化","生态园林","上半年","先天性","原油","知名度","稀有金属","场地","就业指导","市场供应","交易市场","改革","清洁","制度","宏观政策","承担","寄宿"
"7","经营机制","各条战线","机电产品","产品产量","关键性","核电","学会","保密","一大","海防林","波动","实施","评为","城乡","换届","住房难","不竭"
"8","落","养殖","损害赔偿","共同体","拉长","特大","有权","稳居","逐步形成","洽谈","传输","农村","家","增加","农村土地","初高中","农网"
"9","常住","强桂新","宏伟","无望","原则上","减负","最多","盈亏","业务素质","百万千瓦","罗布泊","企业","会展经济","特色","义务","锁","效果"
"10","电池","工矿","粗放","原创","可持续性","增长率","理财","家园","一标","智","联控","亿元","试验区","力争","电石","奎","新面貌"
