"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","果","蒙东","会计","南广","发动机","总面积","加以克服","众创","港澳","甲醇","达户","提高","体系","经济","相互促进","旅游名县","廊","摆脱","以工代赈","以呼包","依法惩治"
"2","七五","社","重大事故","冰雪","远程","外运","省委","服务项目","转业军人","集中供热","群众","进一步","推动","增长","金融资产","互联互通","培植","荒漠","迪庆","黑臭","一站"
"3","现行标准","周边国家","供应","年来","平息","航线","高糖","吉","性质","产品产量","开放平台","社会","一批","企业","十项","高端化","二中","高速公路网","集镇","休閒","幼儿园"
"4","良性循环","昆明市","补差","造","中国人民解放军","包装","民族平等","节地","赢","配套","双高","亿元","生活","改革","产品质量","田","学会","收官","海勃湾","花卉","基层组织"
"5","沿海经济","百年一遇","主导力量","克服困难","乡镇企业","网络管理","审时度势","一家亲","普法","从严治党","进出","产业","生产","农村","装机","制度性","南缘","对话","追溯","推荐","集散中心"
"6","小康生活","放大","十五","地勘","搬迁","直供","编纂","税利","塑","老少边穷","限时","教育","建立","实施","推","具备","公益性","发展期","承载能力","农事","代理"
"7","阳朔","布局调整","理政","大学","著名品牌","黄桶","英雄","不多","锡盟","接种","勤政廉政","工作","生态","工作","死亡率","精心","大兴","广西大学","各族群众","基点","审核"
"8","江南","援","消灭","挤占","中后期","七支","污","水价","先天性","在职","腐败分子","稳定","资源","工程","城市化","茶叶","规模经营","有个","变电","贸易额","出让"
"9","青山绿水","三项","前瞻性","好个","所向","海洋工程","解放思想","疾病","寄宿生","生活必需品","核准制","水平","特色","重点","备案","劳有所得","并行","移交","民主化","东至","贵"
"10","姿态","地以","开辟","荣誉","实物","向西","稳固","交会","勤俭","腐败问题","核心技术","政策","事业","就业","风清气","根基","三品","大西南","全委会","交换","保安"
