"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"1","各国","人民解放军","全线贯通","稅","粮食作物","铜鼓","八届","大楼","智库","科技推广","疾苦","编制工作","高速铁路","尽力","普及率","优势产业","查","经济","经纪人","农村面貌","工作","一流"
"2","种类","医务人员","汶川","做实","戒","品质","结束","遭受","黄赌毒","原因","ldk","理论体系","排污权","纵深","黄标车","五大","国民教育","增长","扯皮","从严","政府","并联"
"3","方方面面","冰雪","云桂","廉政","产出","典范","获准","高度一致","适销对路","政企","多年","生物","品牌化","轴","引智","届","高等院校","社会","协商","环境治理","就业","效应"
"4","技术标准","目的地","件","大有作为","促农","康","夺取","三线","餐饮","碳循环","交通拥堵","都市区","办厂","复兴","姿态","省级","呼伦湖","实施","九五","动工","支持","列为"
"5","调查","县乡","面","管制","错位","小时","银牌","超级稻","蓄能","寄宿","邪教","闯出","现行标准","致贫","实力雄厚","未来","私营经济","重点","佳绩","独立自主","农业","重任"
"6","贝利","贷款","进出","缓","就业门路","就打","炼化","批发","催人奋进","债务","颠覆","定制","授课","空气质量","遗留","实效","猪","企业","收入者","做出","水平","西出"
"7","锡林郭勒","压减","廖","圆满成功","开放平台","三要","小康生活","光机电","推诿","系列","精细","钱","沙漠","连片","羊","高起点","滇沪","改革","长城","核桃","市场","碳酸钙"
"8","中等城市","三线","硅","在实践中","修造船","动物","商贸业","万多公里","宜居城市","科技园","专项经费","引水","每万","上年","硬质合金","高标准","主辅","提高","准入关","少有","机制","农村卫生"
"9","发展势头","自住","软环境","均居","运力","宜州","铝电","各项规定","三品","垄断行业","鼓舞","前瞻性","光彩","一般性","诊疗","反恐","合理配置","亿元","遭遇","力度","做好","核心区"
"10","渠道","过高","特高压","华","炼化","蚕茧","双边","颁布","工作队","浙江","哲学","年产","接收","西起","综合利用","爱国主义","落后","工程","双高","竞争性","建立","高龄"
