"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"1","网络安全","五五","查办","信访工作","扶贫济困","出区","淡季","聚力","肉牛","妥善","本省","经济","法制观念","工作","加工型","港澳","证明","农业","岭","带头人","省直","九大","缓慢"
"2","华","土壤","规矩","马","出口产品","中泰","强制性","达户","寄宿","对下","工业品","重点","收缴","增长","首府","出行","相比","生活","句号","州","一条龙","讲好","第十次"
"3","退化","越南","本质","以旧换新","欧","同价","数万人","财政监督","前期","产学研","不良贷款","投资","养老保险金","提高","显著成绩","信誉","并联","国际","战略重点","福建","新港","促使","扭亏增盈"
"4","武装头脑","城市绿化","因灾","科技交流","众","贺州市","企业信用","三无","党政","净水","桂西","制度","文章","社会","自来水","国投","合法","协调","中欧","冷链","宪法","犯罪","承诺制"
"5","人事制度","覆盖范围","校舍","棉纺","民俗文化","积案","脱贫致富","环湖","大江","战略规划","边疆","教育","三区","改革","非营利性","征求","早","地区","层层","察","法律援助","百强","机关干部"
"6","联防","既有","团体","八个","溪洛渡","略有","水价","死亡","半停产","开发","即期","城市","积极进取","农村","第二批","县市区","推荐","健康","现代农业","交流活动","极端","不力","伦"
"7","用心","中转","跨年度","风电场","缓","审批","适合","补助金","两年","想","重庆","工业","气体","企业","直补","绕城","湖口","生产总值","港口城市","电化","有法不依","受灾人口","铃"
"8","煤矿安全","码头","最优","第十次","控股集团","江湖","热轧","毫不放松","无水","造就","轮作","管理","贯彻执行","实施","励精图治","可操作性","天蓝","精神","供销社","代理","化为","出拳","所惑"
"9","完整","妇幼保健","家庭经营","信号","弱","职能","脱钩","节约使用","青","港澳地区","起步","水平","化学","亿元","菌","陡坡","百色起义","经济社会","开发区","面积","脊髓灰质炎","发展中国家","融通"
"10","论证","平方米","洲","吹响","煤电","计生","管人","地质公园","卫星","投入","生命线","保障","感情","产业","湖出","扩股","阿拉善","金融","景谷","直补","尽力而为","新的","政协"
