"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"1","治国","边境县","中等城市","解放","锰","孵化","人工智能","蒙古国","总面积","平等竞争","庆典","分子","救灾物资","晶","综合体","经济","恢复性","群体","开","投资","一要","澳","用电","首个","丰收","遭受"
"2","工业化","忘","不断深入","a","伊犁河谷","多晶硅","说","南缘","成长性","侵害","薄弱环节","凝聚","草案","成本上升","公仆","工作","均衡性","氮氧化物","凡","制度","村通","十件","心连心","驻村","到元","省际"
"3","孕育","入滇","指标体系","气体","员工","非公","喷灌","矛盾","物资","跨上","肉牛","增长期","棉纺","丰硕成果","部门","增长","荒地","指战员","世纪","农业","三板","村容村貌","沿黄","条件","咬定","浪费资源"
"4","阿尔泰山","用于","防沙","入选","不大","用房","不减","优秀人才","十八","福","宗教事务","兴建","投资总额","开拓进取","清缴","社会","维修","发现","产业群","创新","基层","指挥","卷烟","差异化","最具","销售"
"5","约束","办事效率","邪教","灵活性","句号","信念","金融业","广西大学","融洽","农村税费","千伏","随机","礼","加深","海堤","实施","妥善","战略决策","重度","教育","合法性","民族团结","五年","会议费","原产地","指示"
"6","流浪","南康","农","所惑","疫苗","闯","长效机制","水能","多万名","干旱","省长","修","提案","叶尔羌河","日益增长","提高","渡过难关","多种","改水","力度","人流","审计","灌阳","火电厂","国检","半"
"7","密切相关","教学","贸易额","西津","便利化","面前","走过","卡","大型项目","蔓延","纵向","番茄","编制工作","式","安定团结","改革","西电东","医养","集团化","城镇","贴近","约法三章","公共数据","核心区","心血","遵循"
"8","外经贸","陆","充分考虑","出海","重大胜利","以人为本","操作","产城","所得税","培植","占领","种业","排污","经济合作组织","均达","企业","推广应用","羊肉","致远","工业","绝大多数","和县","上市公司","好字","中起","新村"
"9","民航","助学","医学","农副产品","第三次","战略部署","宏伟蓝图","民主选举","饮食","下功夫","车辆","什","专项资金","窑厂","浙赣铁路","农村","三五","位置","放行","做好","高技能","阔步","弥蒙","死灰复燃","传统媒体","一次性"
"10","项目法人","创业园","中巴","扬尘","购销","乳","禁令","获得成功","人文","要活","三品","联席会议","涉牧","招聘","那拉提","亿元","配套技术","上山","社会财富","增加","平","停建","急剧","o","精神风貌","智力"
