"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"1","本质","沉陷","比赛","社会安定","技术培训","工程","一如既往","认真贯彻","检验","全运会","消费市场","产业","技术","居委会","名村","顺应","出发","经济","一圈","保险金","基石","转包","趋紧","紧扣","稳定物价","违法","辉煌"
"2","总人口","蔓延","储量","体育赛事","二产","提高","直面","特高压","辐射","成效显著","生产力","稳定","亟待","福建","试点","喝","主渠道","工作","国民收入","报销","摆脱","电讯","辽","初高中","信息化","汶川","德保"
"3","碧","部省","气化","预算外","体制","国家","刚刚","光学","核","马中","过硬","合作","骨干教师","空港","硬任务","营","对下","增长","之冬","马铃薯","乳","畜","煤制油","毛泽东思想","牧区","拉长","地矿"
"4","责问","宝贵","占有","汇聚","免税","加大","民航","进村","中国人民解放军","认清","转业军人","提高","招待费","舞台","总支出","食糖","交往","社会","保和","纵向","奋战","财政投入","增","管理权限","第五","特种","迅猛"
"5","流动资金","信用贷款","合同","恢复","金融业","政策","民办","创业投资","恐怖活动","交汇","初级","增强","焕然一新","之年","宿舍","增添","作品","实施","慢","硬仗","股权结构","公平竞争","用人","预","期货市场","城管","座"
"6","回乡","亟待解决","侯国","抵押","学校","保障","铜墙铁壁","同呼吸","惩戒","百户","枯竭","投资","扭亏为盈","办","跑","半停产","梦","企业","各部委","深刻","关键问题","部队","历年","个市","名片","从价","农牧民"
"7","河道","教师","干部队伍","中低收入","积极开展","落实","较弱","首台","摆到","产业政策","内外","保护","增值税","主动出击","水东","客运站","机会","农村","煤矿","大中小","小勐养","不限","技术性","行政诉讼","焦炭","停产","圩"
"8","持之以恒","指战员","钉钉子","样板","金谷","新增","督察","ldk","拉","做","到位","特色","资","加重","水文","现行","地中海","改革","懈怠","国际形势","不断改进","不断丰富","正确","赔偿","合作开发","责任感","言必信"
"9","退伍","户籍制度","环境卫生","行政村","思变","努力","殷切期望","尽力而为","除尘","新思路","扰乱","资金","若羌","予以","大学","县城","国资","重点","城镇居民","全面推广","党的基本","兴贸","呈贡","货物贸易","生态型","实干","双双"
"10","拳头","形势","用气","总书记","心理","旅游","禁吸戒毒","盲目","孕产妇","展望未来","不断进步","培育","转让","组建","适用技术","亏损企业","速生丰产林","亿元","工资收入","村寨","过错","类项","阔步","大米","万里行","吴圩","舞蹈节"
