"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","日趋完善","乱","从元","样板","发展期","降到","来之不易","涌流","留人","清正","公司法人","机制","干法","内外贸","追求","高标准","经营机制","节约使用","风电场","信息产业","万多公里","经济","药交会","屯垦","澳门","工作","转岗","户数","工商户"
"2","红十字会","产地","采取措施","迫切愿望","领军","大学生","公立","高危","为首","开放型","超常规","培育","四横","行使职权","勇于探索","非国有","两位数","医学","回乡","思想观念","东西部","重点","八大","阿尔泰山","初高中","实施","环卫","日本","降低成本"
"3","充满信心","驮英","以县","京","建设者","生育","霍林河","深深","聚焦","失误","用年","科技","发债","镍","征集","排放量","快递","积极开展","流感","绒","全局性","政府","职工群众","园林","坚决贯彻","提高","做人","国际经贸","爬坡"
"4","重点难点","扬长补短","先照","卫生保健","公共信息","产学研","积极因素","妇","制订","对话","疆电外","提升","引导性","还要","审定","锁","视野","下调","实施方案","流","沙地","工程","在城镇","员工","利","完善","舒","高峰论坛","南宁市"
"5","四项","主业","兴安盟","格尔木","自行车","所在","羊肉","镇村","增效益","外部环境","栽培","各项","阶梯式","重点","依法办事","充分运用","资助","清产核资","三元","自然村","户籍","改革","互惠互利","后勤保障","万座","产业","比上","保护措施","实招"
"6","征程","观光农业","桑蚕","切实有力","留给","倒卖","新增","认清","农","购车","初步","地区","资本金","力促","落户","初级","拒腐防变","人员编制","重复","保持稳定","民族平等","亿元","清真寺","昌都","里","增长","远","筹办","削减"
"7","稳健","跨入","爱民","基层工作","供暖","评审","气热","少取","主产县","物价上涨","尾矿库","基础","生活富裕","伊朗","可用","船舶","技术支持","春雨","高速化","脱钩","接待费","投资","平南","丰硕成果","看","项目","诚挚","排除","型"
"8","粗放","华商","盖度","发展前景","城乡经济","赣州市","罗布泊","等国","节地","非公有","外贸出口","深化","合校","奖代补","的水","做大","转包","熟悉","采矿","博览","上马","加大","艰难险阻","致病性","忠诚","社会","致远","贸易总额","经济繁荣"
"9","滇西北","治","公安干警","已有","六项","货量","莫","双千","通村","业绩考核","句号","控制","临河","努力学习","煽动","划","婴幼儿","种养业","大旱","报账","搞上去","体系","技能型","道德规范","增至","农村","死亡","贵广","养老"
"10","学年","等市","广东","恶劣","工业生产","歌会","开业","余万","撤地","驰名","四中全会","产品","直播","连队","笔","停征","走势","低丘","乱采","引咎辞职","开放度","创新","控制性","铺张浪费","微型汽车","推动","管道","中介","技术引进"
