"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","校长","气化","中西部","包容","兴国","吃饭","标準化","奖项","富港","改革","执政","村办","经济指标","油","国有资本","观光","立体式","校企","造福","河长制","十六","程序","入学","经济","一条龙","公共","发生率","泰","争当","残"
"2","城乡建设","客家","过硬","入桂","城市规划","自由贸易","落地生根","教学","纪念","工作","村民","发达","热点问题","中南半岛","柴油机","开支","受灾人口","亚洲","建成区","筹资","洋溪","各项政策","农村基层","增长","纵向","统计","取消","地缘","上扬","团结一致"
"3","安置","体制性","新生","休牧","清欠","占补","收入者","在职","覆盖范围","制度","美好生活","用年","粉煤灰","空间规划","扭转","集中式","氏","中国","法律手段","证券","廉洁自律","多万千瓦","承诺","社会","治安状况","着手","现行","助推","连续性","公共政策"
"4","光彩","来信","督导","轿车","原始","洽谈","渡过难关","理解力","互利","加大","依法打击","保险资金","援助","用水","商业银行","沙","自来水","发电","地质勘探","正气","近年","严格考核","施策","重点","事项","合一","砂石路","配置","湖口","撤并"
"5","看病","古","整体性","敷衍塞责","县","弥足珍贵","房","电子化","威","创新","敬老院","进港","深感","於","复明","桂东","交流中心","制止","百万千瓦","达户","百镇","加速","降低生产","提高","群防群治","留守","民族自治","旅游者","差异化","教师"
"6","独","广场","回顾过去","任职","友好城市","电煤","废止","西海","北梁","水平","提高效益","影响","发送量","内贸","煤炭","多出","泛珠","传统媒体","理政","自然景观","更高","两项","策划","亿元","若干个","放行","粮油","产能","六是","障碍"
"7","努力","减不增","地级市","房子","失信","质量","尽早","吨级","光辉","体系","预算内","服从","教学改革","油品","共同愿望","铅锌","试行","强基","建议","供气","基金项目","矿井","沿海地区","实施","源泉","实效性","人道","富农","共生","予以"
"8","样板","出路","考评","动车组","江南","省区","省校","生命线","公共交通","一批","无党派人士","赣东","勘察","下沉","多方面","问政于民","分布式","责","高等学校","专业性","券","横向","艺术节","企业","致富","接收","重特大","齐全","特殊政策","批"
"9","房屋","国际金融","三大","自然资源","钥匙","铜业","集体经济","起数","新路","管理","艰苦","金融风险","埋头苦干","适应性","沥青路","每户","喀","涉及","利益","领导人","前行","代表大会","交叉","农村","高品质","政企","高峰","贫困山区","人口素质","工交"
"10","这是","大有作为","草食","扶志","一抓到底","广度","交叉","竞争机制","多样","力度","事业性","懈怠","冰冻","加强监督","引咎辞职","群众","道理","补奖","盲目","海峡两岸","凝心","资不抵债","霍林河","产业","转变职能","三条","等级","全境","增势","信贷资金"
