"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","港澳","着眼点","优化","重用","供热","集疏运","查","改革","地条钢","终身教育","盟市","精準","慢","依纪","城","经济","稳居","迫切需要","舞蹈节","红十字","感受","乌昌","开支","担当","蚕茧","目标","和睦","防洪堤","最优","传统美德","输配电"
"2","疾苦","一揽子","作用","高科技","救急","分布","集体企业","合作","万亩","全线","提高质量","很大","民智","大灾之年","检测","工作","根本途径","浦北","储量","多重","廉洁","用工","创伤","大兴","人寿","书","中有","主力军","精河","乱罚款","社会主义"
"3","深刻","并行","持续","净化","消费水平","油","着眼於","做好","通报","牺牲","忠实","安全隐患","质量标准","扎扎实实","乳制品","增长","轻纺","办事机构","各类","解","力求","职业道德","健全法制","在校学生","跟踪服务","严明","科学研究","损害赔偿","超市","建党","税制"
"4","充分运用","增设","五年","就业门路","还草","保卫","旅游圈","建立","责问","求新","特定","汤显祖","省运会","事态","亿公斤","提高","万伏","途径","泛珠三角","先锋","公职人员","教学","风清气","出海","热情","讬","标準化","治桂","强力","三支","禽蛋"
"5","餐饮业","转机","高速公路","容量","跨境","党组织","奋战","人民","宗教界","师资队伍","扫盲","集资","净土","配偶","积蓄","实施","解困","中东","塔里木","砷","人员编制","金融市场","电池","详细","长珠","划上","常住人口","事权","转向","一点","区间"
"6","抬头","法定","参与","进步事业","经济损失","支撑力","依法取缔","目标","出让","的立","办好","兰","弘扬","为先","信念","社会","民主集中制","越南","方阵","第五个","示范园","反哺","趋好","监察","第十六届","深入人心","零增长","扶贫开发","重特大","日益增长","带乡"
"7","安康","以城带","利用","边陲","二极管","纸","团结一心","战略","艰巨性","第至","实施办法","海洋","确实","涉外经济","相关","企业","两项","经营性","出版物","注重实效","购并","大西南","浓郁","抗旱","开拓进取","技师","大力开展","绿洲","管理局","勤政廉政","实验区"
"8","多出","货币","农牧业","公民","软硬","从无到有","非金融","旅游","刚性","权威性","总揽全局","华东","药业","看病贵","总面积","亿元","首个","励精图治","零售额","各市县","游牧民","高校学生","特","立法","重点县","选聘","围","理念","就职","北岸","土地"
"9","g","r","公开","门路","中华文化","山川","约束性","科技","核心区","滇东南","鲁甸","四化","精简机构","免除","三张","农村","大厦","增加","入住率","变速箱","天数","取得成功","广西师范大学","老少边穷","渡过难关","财政补贴","足额","结对","表现","劳民伤财","沿海经济"
"10","展望未来","倒查","龙头企业","第一批","校","加工量","汶川","切实","盐","主观","伊犁","尽收","服务区","气候变化","广度","政府","务实","塑造","竞争机制","第十二次","医疗器械","洋溪","卫生院","主干","功能区","海绵","积极性","环境质量","近几年来","技术","高等"
