"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"1","了省","海域","推广先进","样板","食品安全","孤残","反对","慈善","南昌县","偏高","链","工作","陡坡","每生","留给","百万吨","镍","各条战线","入住","质量第一","温暖","多措","普通商品","又快又好","依法办事","择业","丰硕","显著成绩","经济犯罪","德厚","机械","社会","东至"
"2","员工","液化","各界","国民教育","柳","考核办法","正派","保鲜","牵引","权责","三个代表","经济","宽裕","力促","超额完成","落","倾听","飘浮","治税","马铃薯","生产型","报酬","壁垒","改观","设备","承前启后","共识","机关干部","界","侯国","每万","实施","办结"
"3","设施","百万","俄蒙","分步","市政建设","民营企业","日常","安心","劳模","狠抓","民族宗教","增长","充满","宗旨","理想","数","超级稻","群众团体","创业","各个环节","西出","伊尔","实事","医养","金融资产","县乡","铜板","译制","超标","再生","确实","提高","精准"
"4","识别","办医","建好","后","残","宏伟","经济损失","文艺","漏洞","涠","基本国策","改革","助","二中","自然村","应对","岛","放在首位","内需","公共服务","所得税","于民","轻轨","稳控","闸","浮躁","供应","历史使命","可比","体育赛事","九次","重点","应急"
"5","西双版纳州","低收入","之本","联体","库区","不大","金安","确认","学会","超市","人工智能","农村","授课","竞赛","供排水","汉族","蓬勃发展","行政部门","监测","危房","经办","奖代补","灵敏","拨款","一如既往","阶梯式","中华人民共和国","所需","三个","做起","惩戒","文化","厦门"
"6","牢记","艰巨性","树皮","灾难","转移性","内外","原产地","南北疆","套","结余","制药","亿元","凤","江苏","虚报","信贷资金","山清水秀","过快","额度","互访","主营业务","沙尘","萌芽","功能","度假区","永磁","防火","铜业","诚信","办好事","核电站","创新","回应"
"7","突出贡献","主旋律","办事处","两翼","爱心","下乡","省委","宝贵","管理机构","不利于","森林抚育","企业","机组","和顺","条块分割","活","特岗","出版","支渠","民间组织","高级","依法惩治","产业链","监督","水质","域","市场竞争","发生率","大户","零增长","上海","加大","志"
"8","愿","顺应","对外经贸","修建","猪","清缴","高品质","音像制品","各市县","控股集团","工业污染","产业","趋势","根基","恢复性","沈客","住宿","强力","兴贸","电子产品","一步一个脚印","第三季度","民主选举","迈入","流入","借鉴","一品","七次","科研人员","上山","科研项目","教育","低碳"
"9","消费","产业基地","运","信息安全","感受","本土","四是","尽心竭力","个旗","周岁","八荣八耻","工程","日趋","载体","客源","懂","自豪感","园艺业","跃升","非工口","乞讨","鲁","尖锐","东区","桑蚕","林果业","在思想上","新一极","调运","接替","受灾地区","支持","安康"
"10","签署","颁布实施","企业信用","土地出让","解","价格政策","社科","四方","军地","就打","国家计划","政府","浪费","监管区","保护性","联席会议","估计","交易额","行使职权","双边","生猪","有所改善","沙漠化","灌阳","十运会","会商","节余","规模经营","主题","交通枢纽","件","农业","香蕉"
