"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"1","起数","有害","可望","产业","做起","绰","初心","侵权","学科专业","言必信","钾盐","大有作为","团结奋斗","网络化","公办","满意","承前启后","社会效益","百年","拖欠","云","地理","本省","骨架","经济","营养","跨部门","时间","共担","风力","代管","沃土","联控","基地化","医学","村庄","局部","出生率","叠加"
"2","定价","海拉尔","优质稻","稳定","南湖","节余","选派","未来","排忧解难","尽责","公共事务","住宿","不容乐观","严峻考验","造地","频繁","从根本上","推向","毫不放松","应诉","兴区","出疆","增添","力推","工作","党组织","国家计划","国防教育","马山","商品化","井","大力提倡","较长","七五","出入口","水产","节材","绒","天气"
"3","职工群众","林田","救治","综合","第一批","速生丰产林","和顺","学杂费","结余","交汇","将军庙","行","规范市场","文具","整村","良好条件","亚洲","树皮","加剧","祖国统一","二等奖","发展期","东德","第九次","增长","时期","乌梁素海","中俄蒙","科教文卫","好省","畜牧","权能","信贷资金","下岗","巩固率","内生","东南","喀","每万"
"4","兴桂新","桂北","公正执法","提升","金融市场","呼市","科学管理","潜在","缺点","阔步前进","地质矿产","贸易额","由省","联合体","驻赣","限期","经贸合作","搬进","控制能力","用好","空港","至都安","实","界限","实施","信息网","大力推广","熔炉","高载","禁吸戒毒","植物保护","若羌","大江","史","学习","规","振奋精神","十五大","妥善处置"
"5","百千万","樟","缩减","工业","确立","陆续","要硬","锦标赛","焦化","党和政府","雄风","增长幅度","亲自","民办教育","敬老院","走低","市长","兴水强","屯","用法","昌九","转机","选择地","较重","社会","再生资源","生","颁布实施","上涨幅度","教育引导","正确认识","指针","户户","自动","水产","茅草房","速生丰产林","出疆","科学院"
"6","务实","泰和","首要任务","旅游","争议","冷链","要活","淡水","萍","堤防","专款","赛维","第八","飞地","适龄儿童","银行贷款","联合开发","领先水平","平息","更多","空气污染","搬","社会工作者","地税","提高","开发利用","肯定","小康","估计不足","市区","经商","政权建设","以质取胜","庆祝","骨干力量","顺应","企业家","日益增长","定期"
"7","树立","兴旺","慢性病","培育","难得","八荣八耻","培训中心","早期","是从","农超","总体方案","省级机关","良好基础","隘岭","主管","拉动力","筹","生物医药","省运会","全额","同城","水系","建党","物品","企业","速度快","归属","寄宿制","深深感到","滩","保密","荣誉","贸工农","劳模","工业原料","降低","改革","文明执法","危机"
"8","大中小城市","辐射力","评级","收入","京","医务人员","文物","从家","打印","冶","供需矛盾","列","前沿","寻常","环境卫生","吸收","关停","石漠化","改善生活","区域环境","柳东","各县","报刊","后发优势","改革","公路交通","河湖","石油工业","老少边穷","致力于","技术落后","热点问题","低成本","效应","遗","吞吐量","换","金山","市场主体"
"9","集体所有","医保","作业","环境","自律","各市","一线","林农","腾讯","两江","村口","池","华银","第八届","数控机床","大型项目","衷心感谢","撤地","直升机","群众利益","民用航空","家用电器","要带头","第篇","农村","租售","孔子","力戒","下乡","澳门","公平正义","阶梯","社科","万户","增开","坚定信心","三产","墨玉","职"
"10","授予点","五七","信任","支持","多家","限批","图书室","新巴尔虎右旗","期盼","实验区","矿区","五期","航空公司","一线","铜墙铁壁","重点学科","交给","长久","碳","景区","外资企业","终点","第一","技术性","亿元","区分","搞活","团场","养殖业","广西大学","普遍提高","地上","累进","贺州市","延包","办事效率","舒","第三轮","进港"
