"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"1","一杯","连旱","山水","若羌","深山区","通电","企业","生产","陆","主动出击","民族团结","发展趋势","用心","盲目","落久","经济","链","合法性","红沙","拥军","核心内容","同治","废气","乡政府","四化","增势","多式","强镇","居民消费","偏远","城市防灾","财产性","软件园","光","直至","工作","自治县","化石","劳动生产率","万辆","个性化","车载","做好","生态系统","科技馆"
"2","禽","周","并联","免疫","两倍","杯","服务","机制","鲁甸","过错","新网","依规","喜爱","管理局","钢铁工业","社会","倒塌","桥梁","税收政策","重要性","迫切需要","严厉查处","创建活动","灌阳","摆脱","高校学生","纸业","正确性","控股","急剧","告别","和民汉","患儿","超出","距","实施","贫困地区","谋利","藏区","工资改革","金奖","管不了","挖掘","历史性","具备"
"3","山口","亿美元","就地解决","路条","再用","珍贵","支持","改革","装配式","浦北","壮瑶","开园","基地化","滇桂","籽","重点","c(""代表","首例","挖潜","楼","取水","图书室","亿多元","建筑面积","家底","环境影响","粤","产后","嘱托","印","管理","不断丰富","床位","拉大","天数","产业","不当","蒙牛","依率","义务工","商务论坛","泛珠","总支出","一系列","物力"
"4","上线","审批权","防火","光荣传统","羚","优质稻","增强","力度","友好人士","人员编制","中新","条出区","汇聚","不稳定性","大兴安岭","增长","副食品","连丰","三要","邦","和睦","得力","推动力","节约","援建","核准","服务器","民用航空","载能","总结经验","响应","实景","暴发","加价","勤政","项目","评审","成倍增长","眼光","嵩明","避灾型","抗","束缚","重用","品学兼优"
"5","十二届","起色","粮田","休闲游","厨","大中小型","提升","切实","基本思路","疾病","焦炭","利润率","网上","消费水平","贫","农村","酸雨","懒","能效","四季度","找准","违法乱纪","承前启后","密集区","办理","用好","自住","新思路","防城","同志","菱","你追我赶","使节","透","二手房","投资","难忘","面广","新风貌","转化率","总播","由省","租售","商业模式","影视作品"
"6","菌","民生银行","包户","硕果","自励","柴油机","市场","深化","切入点","成份","废水","向善","三化","超级稻","恢复性","亿元","平均值","铁山港","援疆","搬入","初步统计","多万吨","南贵昆","调解","与市","经济林","办复率","磨","电视","彩电","恒邦","自立","严谨","华广","最新","进一步","强制性","长城","最严","开发新","受理","自行车","保卫战","为此","法尊法"
"7","向管","建材业","拉美","数量型","书刊","焦化","环境","水平","客运量","精神","边防","电能","趋于","华银","造地","政府","六条","对外商","短平快","培","柳钢","责问","海洋渔业","开拓进取","危险品","配套技术","马克思列宁主义","跨海大桥","牧业","旗舰","三下乡","抢修","教育部","抵扣","交易所","完善","立","深感","网络传媒","行等","服装","论坛","欣赏","暴力犯罪","情怀"
"8","委托","冬运会","血液","浆粕","轻轨","辅","战略","开放","森林草原","播放","做大","建市","大部分","试验区","历程","提高","荷城","湛","中国联通","委派","脱","发证","建筑材料","开","日子","豪","亟待解决","依纪","比重","潮流","侵蚀","汪","暂免","正负","电容量","创新","户籍管理","前沿","战略决策","两轮","运销","突发性","移风易俗","安居梦","节约用水"
"9","分担","回暖","自主经营权","诸多困难","大为","专题","着力","建成","误国","雷厉风行","对个","个点","封禁","不通","展望","制度","公共厕所","中国移动","新型材料","不失时机","紧扣","通畅","言行","全心全意","守卫","稳中有","加固","大河","依法","多层","亚太","进口额","以乌","绿水长流","不相适应","文化","勤俭节约","外","履约","国民教育","鄱","开发利用","带为","危中","决战"
"10","恶势力","能动性","富士康","输","粮农","中印","解决","人均","压缩机","书店","建国以来","还贷","多办实事","一大","考评","体系","沉","核定","深刻反思","指示精神","跨越","以质取胜","出口导向型","发展期","共处","任重道远","铁路干线","各类","肉羊","广昌","日益完善","帮困","猪","科技知识","持卡","就业","珍惜","水网","强迫","取缔","救助","苏","商品粮","两国","评定"
