"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47"
"1","大力推广","黄桶","尽力","亲属","残疾","持久","湖出","饮水难","救灾","社保费","加工","接替","社会","空白","方式","玉米","集散地","企业经营者","新品种","脱困","双双","旅交会","灌区","流转","衢","诚挚","德保","内在","既利","克服","活","省情","富港","工作","第十四次","内部结构","木卡姆","港口城市","重要途径","转运","公立","天山","全面铺开","网络管理","山水","贴近","养"
"2","表率","赣台","复制","应诉","组织协调","履行职责","停车场","扫盲","心中","所旗","通勤","社会效益","进一步","下移","信息化","广告","预报","贸易区","党的路线","教师","陆海","回采","步子","以工代赈","率","通铺","高度重视","整理","后期","持股","国电","可控","光","经济","门","天网","第三","充分利用","经济杠杆","工作队","省部","新设","集中区","八是","信息系统","党和人民","经营性"
"3","假日","上扬","兴水强","外汇收入","专家组","就业率","电石","道","四是","建设成就","远洋","组团式","重点","迫切","招商引资","新版","加工水平","主观","外源","基层工作","扭转","拥政爱民","观音岩","期末","配电网","瑶湖","鱼梁","种养业","下半年","政府","导致","旺","多方面","增长","填海","运动员","欢乐","伟大胜利","受助","训练","盖度","玉米","关口","水体","占补","切实落实","跑道"
"4","科技交流","历史性","获批","坪","专等个","清明","覆盖范围","严","柳江","经棚","首届","万里行","就业","管理体系","品牌","博士点","长江","商品房","增长期","高速公路","困难","拓展","小勐养","饮用","旅游业","公斤","盘子","暴发","欧美","以城带","能快","高层","奔头","企业","半个世纪","宏观管理","面向市场","中老","动乱","就职","售后服务","减贫","东南","超出","构想","帮扶","红色"
"5","己任","地表水","个县","产业基地","高峰","宪法","热水器","视野","无党派人士","六进","筹办","七个","制度","乱罚款","饮水","可靠保证","电商","血肉","统揽","认证","的立","承建","远","亚欧大陆桥","跟进","本届","出入境","温度","一杯","投用","显示","治旱","高载","改革","办公楼","村务","溶","一半","社情","营业额","基金会","民族音乐","国有产权","统揽全局","锂电","高技能","初步统计"
"6","耗","工商行政","患儿","石油化工","苏","创","每户","三板","发挥","教育网络","税负","争分夺秒","创新","建筑","顺利","情绪","省内外","极端化","索","工业化","恶势力","车","开花结果","选聘","问责制","职级","江铃","电容量","教育部","中印","赣粤高速","扩股","第十二次","农村","住院费","维","榨季","制度化","引咎辞职","支点","重大任务","口粮","永远","一步","倒查","内部矛盾","越南"
"7","谦虚谨慎","雷厉风行","每户","第一线","务求","符合实际","社会福利","援疆","品牌","特困村","昌金段","十分之一","工程","德","中小学","引向","中起","东岸","妇","名优","成本上升","模组","重叠","有所改善","机组","农村公路","捐款捐物","从今","扎牢","外销","始终不渝","光伏","征求","实施","党的建设","盘活","铁路工程","特征","博士后","门槛","天下","管理权","石漠化","低保金","萍乡市","继","重大胜利"
"8","高危","泛北","发起","青秀山","各方","巨大成就","聚","清正廉洁","信义","发债","驻外","互认","支持","万多名","传统","秸秆","教训","双赢","会展中心","经纪","采伐","不切实际","城区","接轨","调水","义不容辞","吐曼河","赣湘","新藏公路","民居","明确任务","比重","通往","亿元","董事会","拥有","劵","保护措施","对此","拨付","报告会","用心","大中专","沿海经济","闸","勤劳致富","起色"
"9","一场","深刻反思","导致","中国联通","连丰","民主集中制","绿色","务","大同","住房问题","参战","趋稳","生态","差旅费","邓小平理论","严峻考验","医疗卫生","原料林","设定","豆类","每亩","体育训练","正气","花莲县","铁路","时艰","持续上升","下同","建议书","西南地区","负债率","督查","龙州","完善","住的","点上","留学人员","分子","稳步增长","群众路线","斗志","生铁","工业原料","失学","通讯","向前","年收入"
"10","生物工程","牛羊","若干","十大类","展望","凤凰","下决心","不必要","超额","自办","双边合作","民族语言","工业","茅","万千瓦","条例","趋好","青山常在","保有","扫黑","侧","明天","出栏","工资水平","财政支出","分布","石榴","高等","红河州","疆电外","参与度","商用车","庆典活动","提高","燃气管","惠科","价格政策","纸浆厂","质","控制区","行业协会","关键问题","亲水","差","增长点","固化","简称"
