"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","医生","农村","停产","工作","政策","暴恐","中共江西省委","水"
"2","知情权","进一步","行使权力","经济","作用","勤政","强劲","能耗"
"3","职工群众","文化","新路","增长","中国","省直管","临港","保证"
"4","湖","教育","贡献","社会","鼓励","申遗","诸多","组建"
"5","锦标赛","抓好","公务员法","企业","引导","堵塞","惠牧","全面实施"
"6","放开","市场","极","重点","粮食","农林牧渔业","万辆","社会治安"
"7","底线","提升","腐败","提高","党中央","早日","发掘","第三产业"
"8","难度","增强","海域","实施","结构调整","和衷共济","油","人才培养"
"9","持平","综合","联合开发","亿元","交通","财产","校园","以人为本"
"10","住院","收入","半","产业","全年","终身","国防教育","经验"
