"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","宏观经济","工作","农户","纠错","先天性","流通业","生产总值","完善","各个环节"
"2","对个","经济","积极主动","预防为主","充实","改水","引导","就业","氧化铝"
"3","惠农","增长","点","一视同仁","结核病","开启","公共服务","工程","财政投入"
"4","我谨","社会","事后","才能","年底","创办","主体","机制","筹集资金"
"5","一圈","重点","第一","分配机制","城市居民","从业人员","充分发挥","资金","不准"
"6","各市","实施","盈利","造福","每月","高素质","党中央","事业","清晰"
"7","严格执法","农村","昂起","支撑体系","补齐","高度一致","卫生","科技","停止"
"8","普惠","改革","能量","技术咨询","涉","利民","推广","新增","语言"
"9","热电厂","提高","稳定性","半停产","全会","中小学生","通道","基地","执行"
"10","节俭","企业","遭受","减灾","行风","崇尚","外贸","建立","技术设备"
