"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","经济","进步事业","库容","口","富余","淘汰","南昌大学","就业","茅草房","进展"",","高等职业","秩序"","
"2","工作","求快","八是","取得实效","""节能","建档立卡","黄赌毒","城市","""健全","限时","医疗","基金"
"3","增长","税源","吐哈","市场竞争","降低","进步事业","效益"",","基础设施","财经纪律","引进外资","坚定性","同心同德"
"4","重点","开发式","优势互补","示范带","本地","达标排放","油茶","城乡","免征","新生","小水电","期望"","
"5","企业","全域","容量","总面积","新兴产业","短缺","调减","领域","有步骤","经济指标","自贸区","种养"
"6","社会","发电","分解","重点"",","指导思想","施政","统一","试点","香","草场","除恶","团结一心"
"7","提高","百万吨","自谋职业","长效机制"",","年末","指示精神","工业生产","努力","灌溉","领先","合作开发","法律意识"
"8","改革","昌河","物流","惩戒","粮油","控制"",","党的领导","引导","严厉查处","阅读","生活富裕","期望"
"9","实施","软","中期","""打好","县县","销售","
""基础设施","鼓励","海勃湾","外资","显著成绩","四级"
"10","农村","下决心","风景","足","重大突破","居委会","党风廉政","区域","玉","支撑体系","学","民航机场"
