"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","文风","经济","较长","成果","垂直","解","
""整顿","共治","生态","班","同步","陡坡","新增"
"2","技术含量","工作","金山","长洲","责","直供","失信","廉租","保护","补奖","三项","建设项目","承接"
"3","大气污染","增长","干部","万伏","创造性","多亿元","外经贸","侵害","农民","恶化","贵","国际贸易","建设项目"
"4","容量","社会","高速","支撑体系","道德规范","三清山","民政","达标率","着力","藏","污染环境","隐蔽","落户"
"5","
""社会主义","重点","水稻","枢纽","饮水"",","考核办法","普遍提高","聚集区","引导","关系","
""集中力量","高度一致","勘探"
"6","留守","提高","行使职权","幸福感","""做","衡量","及早","家庭经营","方式","补水","危房改造","""完善","落实"
"7","指战员","企业","严肃性","遭遇","""农业","侵权","辽","先","试点","加深","新起点","驾驭","两基"
"8","深入基层","改革","
""资源","首长","代表团","腐败问题","产地","脱钩","工作"",","留住","政府办","快速","人民解放军"
"9","占补","实施","外力","溪口","亿元","法制建设","华侨","存栏","公里","孤儿","监督权","企稳","信心"
"10","再生","农村","香料","总数"",","温饱"",","凡是","燃气","联控","项","破除","大地","芯片","胡锦涛"
