"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","覆盖面","流感","村寨","平果","调整结构","安定","水权","开荒","
""代表","完善","经济","投资","卫生保健","指挥"
"2","六届","水稻","兴国","星云","蒙古","扩散","切入点","拉动","铝","城市","工作","塔里木","岩画","特殊作用"","
"3","园林","老城区","私营","电话","排除","牛羊肉","脱硫","脱贫"",","供养","合作","增长","工程技术","入市","内高班"
"4","承载力","留学生","山清水秀","创建活动"",","和睦相处","花山","五五","万台","发展壮大","市场","社会","责","事中","转为"
"5","上游","编制","对下","桑蚕","减贫","免疫","创办","难题","经贸合作","基础设施","提高","加深","届","高新区"
"6","缺陷","农业"",","不大","饲料","零增长","文风","超级稻","全心全意","大病","城乡","实施","蒙医","分工","污染环境"
"7","延伸","购车","各部委","d","权利","警务","改变","伊犁河谷","灾区","保障","重点","刑事","""去年","区域化"
"8","氛围"",","渠道"",","社情民意","基础设施","抢险救灾","""生态","友谊关","合法性","新农","强化","农村","变相","治桂","清晰"
"9","后期","增至","转变职能","""民族团结","慰问","数万人","民兵","有利条件","教育","提升","企业","""财政","科学知识","
""贯彻落实"
"10","理解力","走访","
""发挥","发动机","接待费","云南旅游","之本","拥有量","处理率","特色","改革","开征","应届","工商户"
