"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","村委会","通勤","转移性","万平方米","乏力","广大群众","气力","油田","回应","一并","工作","文化","光电","政府","供求","自由贸易区"
"2","宪法","团结一心","近几年","聚氯乙烯","新加坡","蚕茧","动物","会展","技术装备","亟待解决","增长","体系","清","进一步","调减","产权保护"
"3","万达","银行业","盟","
""回顾","""新增","区内外","红","世界级","""改善","高等学校","重点","稳定","干扰","经济","以权谋私","下一代"
"4","变相","接入","各个领域","依法办事","成员","公共事务","咨询","用到","农户","门诊","社会","培育","国民收入","创新","优做","丰收"
"5","扭亏","内陆","滇西北","全线","建成区","留给","万间","偏高","产区","防渗","实施","力争","违法违纪","企业","主辅","达"","
"6","趋紧","职责","病有所医","估计","遏制","霍林河","""水利建设","处置","共同努力","稳定性","农村","强化","转变职能","一批","利用效率","创建活动"","
"7","休閒","全面完成"",","脱贫"",","吨","广开","有线电视","明天","省长","旅客","发展史","改革","全国","不容忽视","城市","回顾","农村居民"
"8","种养业","守信","收入者","民族特色","许可权","转企","久","怒江州","氛围"",","
""区域","提高","目标","运输网络","市场","结合实际","法制观念"
"9","救灾","中泰","东欧","社会安定","支流","少数民族","定位","干净","茅草房","跃升","经济","扶贫","
""不断加强","生产","兴旺","青壮年"
"10","毫不放松","公共信息","一条龙","活力"",","除恶","闯","密切相关","省直","改增","机组","工程","新型","自行车","基础设施","滋生","沈客"
