"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","稳定","行使","下达","火区","企业职工","低成本","增值税","开启","经济","新生","垄断","到家","清欠","抗击","日趋完善","法律援助","宣传教育"
"2","规划","五中","商务","重金属","畜牧业","疾病防治","""重视","巴马","工作","工业布局","主通道","安全隐患","存贷款","资源税","关系"",","适时","绰"
"3","收入","观光","深层次","政府办","通用五菱","增加"",","强度","免收","增长","产出","社区卫生","新路子","游戏","一站","独","产能"",","各界"
"4","强化","生物工程","油气","实力"",","回落","倾听","郑州","需","社会","第六次","弥足珍贵","富宁","准格尔","转移性","集约化","外贸企业","家属"
"5","新增","老年人","乏力","差别化","集体土地","示范区","""中央","城镇化","重点","碳酸钙","效率"",","""城乡","实事求是","园林城市","素质"",","
""法治","原"
"6","特色","充分就业","下大力气","呈现","浙江","安居乐业"",","大江","""目标","企业","陆","恐怖活动","平安"",","责","""预期","乐业","分散","运动会"","
"7","消费","餐饮业","创业"",","机场"",","严格控制","文体活动","拆除","抓","改革","区别对待","遭遇","直供","就业率","事关全局","整乡","高污染","一票否决"
"8","持续","铁路","增","集宁","下乡","不利于","之多","督促检查","农村","""铁路","审计工作","乱收费","关心","战线","崇高","连续性","施工"
"9","鼓励","昂扬","欧","高性能","行政效率","零售","七次","认证","实施","打击犯罪","浪费","质检中心","实话","中国国际旅游交易会","腐败分子","洛","
""社会"
"10","投入","财政支出","梦想","职责","毛泽东思想","地缘","赣台","所得税","亿元","勤奋工作","先天性","战略规划","新钢","友善","呼声","重大项目","越过"
