"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"1","年来","优化","税金","十届","农产品","党的领导","放大","完整","骨干分子","相比","市民","经济","亿人次","城乡","理想","翻译","少生快富","黄金"
"2","六是","地区","拉长","合资","情为民","空间布局","家庭经营","成本"",","后勤","发展观","崛起"",","工作","互利","事业","越南","难以","""构建","在校"
"3","桂港","切实","跨越"",","全国","指标体系","瓷","金融风险","筹划","地质勘探","环境影响","联控","增长","含","着力","万达","学习","民营企业","游牧民"
"4","营利性","方式","坊","四项","循环式","高效益","六五","小区","政","生态"",","""建成","社会","新举措","基地","居住证","判断","优质","随机"
"5","底线"",","持续","铜墙铁壁","校园","九是","坚守","适龄儿童","林果","改扩建","小企业","奖惩","重点","安置工作","技术","小草","环境质量","过货量","阻碍"
"6","新旧","引导","回应","安定","救助金","优生优育","用车","家属","多元化","黄赌毒","负面","提高","和谐社区","农产品","等市","覆盖范围","置","初中班"
"7","岗位补贴","启动","较长","二元","态势"",","政策法规","重要途径","标煤","高潮","形象工程","数万人","企业","全程","牧区","发达国家","打黑","发电厂","生物制药"
"8","答卷","固定资产","多条","共同体","聚集区","牵引","限批","""兵团","""十是","治政","灵活性","实施","博士学位","措施","一产","农信社","至都安","短"
"9","集团"",","突破","新高","法律手段","a","高等院校","美好"",","交易额","
""生态环境","服务室","增势","改革","数控机床","公共","计划指标","新起点","效应","""人口"
"10","一号","步伐","花卉","实实在在","生物资源","大厦","人事制度","住院","""三是","
""土地","同价","农村","大会"",","强","非常规","治疗","国际机场","洛湛"
