"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"1","民办","法制观念","汉","""认真落实","万众一心","驾驭","新台阶","完整","珠","老人","到位","聚居","报销","省级重点","经济","危险废物","主动权","培育","橡胶"
"2","航站","一类","使用权","智能","创业"",","监理","前进方向","三产","决策程序","排污权","
""继续加强","基层干部","等市","百强","工作","优秀人才","同口径","改善","鲁甸"
"3","
""开放","时限","拒腐防变","事关","驻赣","内蒙古自治区人民政府","欠发达","人民调解","物流","排除","溪","滇西北","企业化","六个","社会","精准","投资者","财政","跨越"","
"4","海昏","项目法人","一条","江河","
""十二五","中石化","
""社会","生活富裕","转移性","统筹","联盟","核桃","违法","小草","增长","清晰","
""改革","优势","资源配置"
"5","六五","接续","沿岸","由年","高铁","""工业化","金沙江","归宿","活动"",","跨部门","多发","私营企业","打击犯罪","财政监督","重点","群众满意","大好局面"",","服务业","切实做好"
"6","稳步","港澳同胞","航班","呼","居民收入","商事","堵塞","负责制","频发","万亿元"",","一线","严格执法","罗布泊","著名","企业","质量标准","批发","住房","叶尔羌河"
"7","上市","外送","线","婺源","产权保护","技工","效能"",","史志","迸发","一票否决","秩序","补短","实行","文明"",","提高","贷款","朋友","措施","田东"
"8","占用","放心","需求","由个","
""第四","致病性","自由贸易","自行车","省会","创","引进","实","财产权","财务","实施","黔","五保","扎实","留"
"9","退化","和硕","培育出","美元","""充分发挥","手续","粮食作物","红花","茅草房","科学知识","活跃"",","加大","有限公司","安排","改革","转业军人","蓬勃发展","步伐","求新"
"10","高危","低产","义务","结余","废","五保户","多个","后劲"",","抗","坪","海拉尔","实质","指示","十次","农村","理想","长效机制"",","公里","生命财产"","
