"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","便民服务","税源","艺术节","民意","篇章","辐射力","农村","承前启后","诸多","科学决策","整车","光电","两孩","工作","凝心","安排"",","蓬勃开展","牵引","生态化","放心"
"2","土地利用","拼搏","游牧民","万亩","升级版","资源化","增长","路线","度假区","
""调整","清","残疾人","许可证","经济","有步骤","施","非洲","这场","完备","保健"
"3","批发市场","四次会议","呼","着眼点","四年","很","实施","歧视性","有线电视","禁止","加深","发电厂","思路","企业","集群"",","总书记","示范区"",","创年","在思想上","北斗"
"4","子孙后代","综合执法","吞吐量","精简","良好氛围","中心"",","社会","技术改造","陆地","党的领导","运力","支渠","日益增长","重点","拉长","
""保障性","欠账","评价","南康","维护"
"5","科学研究","监管"",","临桂","人口"",","成本"",","进一步提高"",","亿元","改为","比较完善","节约使用","幸福感","中南半岛","堤防","提高","责","双十","城西","挤占","集体主义","实情"
"6","邪教","干预","游戏","劳动合同","育","冷链","政府","双高","简政放权","出资","非法","富农","科技人才","项目","予以","转为","""整顿","节水","财政收支","宏观政策"
"7","高密度","人才队伍"",","着力","合理流动","
""认真贯彻","卫生","改革","保稅","二三","空气污染","土壤","薄弱环节","班子","投资","里程碑","处罚权","承载","安康","生态效益","区情"
"8","余江","人均收入","
""供给","技术推广","消防安全","维权","文化","所需","腐","十年","创业投资","省属","低丘","就业","名村","蓬勃发展","出口产品","泰","冬季","推开"
"9","一揽子","文明"",","郑州","增长极","出边","之大","创新","电石","政令畅通","实力"",","援","
""建成","""抗击","制度","承包工程","藏区","包","会展业","中等城市","工作组"
"10","户数","登记制","任重道远","法制观念","持续增长","必将","推动","汽车","过硬","教学","
""全面实施","
""重大项目","区域"",","体系","作用"",","
""行政","高糖","建镇","注册资本","显现"","
