"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","各个方面","万口","冶炼","后发","生机","责任","于民","油","公务员","""生态建设","经济","依法","强化食品","位次","第二轮","市场供应","力作","
""建成","探矿权","荣获","进一步"
"2","乡镇企业","战略决策","现行","各县","走低","生动","
""教育","功","
""民生","
""城镇化","工作","五小","洛湛","污水","山地","中小型","成长性","优异","独","若羌","制度"
"3","""本届","足","切入点","十年","依据","第十四次","有权","同口径","汶川","小城镇","增长","有序"",","分配机制","解难","更快"",","相适应","防治"",","普通商品","市场导向","忠诚","教育"
"4","回收","辅业","""国有企业","烯","多亿元","城区","下大力气","证券","工业","
""肯定","社会","罚没","大规模","服务性","莎车","坚定信心","中小城市","扩能","
""第六","政协","稳定"
"5","专业人才","除恶","
""全面实施","灌溉","花卉","购买","就业人数","绿化","未用","法治化","重点","所得税","慈善","腐","中共","节余","疏浚","风","新线","精心组织","资金"
"6","设定","真","下一代","创造性","配合","吉","第四轮","兴安盟","交通网络","接轨","企业","""改善","实话","水泥路","示范带","发动机","主导作用","央企入","初次","分级管理","建立"
"7","高中班","五级","渠道"",","加工型","碳循环","零增长","医疗保险","圈","流程","度假区","提高","运行"",","西津","钱","扩面","弱","大接访","管理水平"",","改革","无水","城乡"
"8","文化产业"",","全面推广","
""集中力量","巨大成就","中华","征询","大唐","米袋子","政事","一标","改革","优异成绩","涌流","百强","""富民","舆情","半","肉类","自由贸易","回顾过去","行政"
"9","妇幼卫生","绿水青山","法制环境","能源开发","流浪","携手","""增强","路径","政治","住房补贴","农村","下功夫","班轮","铜板","大排查","东北地区","重托"",","民主权利","审核","进一步提高"",","保护"
"10","晶","水务","创业投资","民房","出国考察","天蓝","降碳","向家坝","不断改进","项目法人","亿元","飞地","脱贫致富","代表大会","技师","水能","国防建设","七彩","一票否决制","九是","解决"
