"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"1","气象","陆地","倍","扩大开放"",","检查","转移"",","
""能源","上半年","制度","种草","工资","岩画","奎","周","产区","国际","
""集中力量","园艺业","大局意识","扯皮","期末","经济"
"2","为首","类","灌溉工程","影响力"",","滇西","亿斤","过错","原产地","提升","稳","促农","互动","呼市","带领","便民","玉","小金库","驻疆","缴纳","集散地","撤地","工作"
"3","文章","运动","家具","奋发","废止","覆盖率"",","退化","用法","和谐","交给","热电厂","森林抚育","减免税","断面","毛","万平方米","违法行为","""农村","受援","感恩","汇聚","增长"
"4","津贴","铁路","企业信用","白内障","社会安定","世界级","新气象","大会","步伐","会展中心","资格","吨级","桥","外资企业","
""扩大开放","等家","奶粉","保护地","抗震救灾","商业保险","重点难点","社会"
"5","轻工业","双线","牲畜头数","商事","全面推广","依法办事","电子化","园林城市","地方","租","综合治理","只争朝夕","稅","第四轮","跨入","""二是","集体土地","先进典型","养殖场","走低","查询","提高"
"6","节约型","新一代","局部","市场导向","""人民","主体作用","""十二五","内河","增加值","逐步推进","供气","网络化","特别是在","社会工作","小时","""高度重视","
""人民","技术设备","开发新","界限","热点问题","企业"
"7","节本","对敌","所系","鄂尔多斯市","巨人","促进法","式","离退休","公共服务","香料","
""培育","工程款","初级","主导作用","校","带","耗","后劲"",","出口额","大型项目","驾驭","实施"
"8","防沙","崇左市","财经","病有所医","""充分发挥","养老保险金","标准","篇","城镇化","尾气","广开","增添","申请","认同","各项任务","校长","力保","充满","组合拳","
""预期","损失"",","重点"
"9","重化工","强基","地缘","网格化","起到","至都安","做法","化为","农牧业","跟进","管理体系","支撑力","红十字","""全面落实","模式","效能"",","外交部","两孩","滩","迎难而上","满意度","改革"
"10","远程","二元","""经济运行","农运会","内蒙古自治区人民政府","旧","稀","通报","措施","幸福感","基础教育","克","京津冀","洋溪","稳步发展","出生率","就读","转机","济困","严格控制","空间布局","农村"
