"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"1","国家标准","打下","失学","三中","力推","风景线","唱响","民情","县域","千村万户","玉柴","机会","""千方百计","经济","考上","国有土地","荒漠","无望","严格管理","生物资源","奢侈浪费","工程","""充分发挥"
"2","特殊政策","转为","不良贷款","刑事","双高","呼声","村寨","发电量","免疫","符合","例","乡乡","零售","工作","法律手段","和睦","涠","""全面实施","
""民主法制","预料","工业污染","就业","坚实基础"","
"3","源泉","即将","能源","私营","短期","产品","团队","云桂","国际机场","采取有效","优生","主导作用","六届","增长","一点","创建活动"",","陆地","布局调整","深远","集散中心","稳定增长","制度","领军"
"4","向北","募集","缺水","奎","创造条件","中华文化","可望","光学","成人教育","网格化","污染物","限时","能源","社会","高地","桂林市","涌流","实用技术","
""成立","结算","民智","管理","超前发展"
"5","在实践中","评为","埠","年的","财产","筛选","综合执法","投放","特产税","持股","民工","高速公路网","率达","重点","直管","旅游节","开","直","内部矛盾","审议","庆祝","农业","准"
"6","香","之路","重大项目"",","免税","控制"",","考核办法","
""推动","信息技术","成长性","知名度","庆典","基本纲领","风力","提高","装载机","奋进","浙","高危","降至","兼并","第八届","群众","公立"
"7","
""经济","文物保护","总量"",","带薪休假","多措","环渤海","轿车","呈现","稅收","牢","合校","数","支牧","改革","治国","之年","分裂","果品","多式","开放","求变","实施","湛江"
"8","法制环境","建好","职教","独龙江","家"",","筹集资金","食品","厂务","封山育林","""区域","南广","廉洁","对稳","农村","廖","军警民","善","利","依纪","石榴","损失"",","城市","资源"
"9","毛泽东思想","精心组织","主导","烯","农区","落实"",","提请","宏观管理","光电子","三元","多晶硅","开发","第八届","企业","差","万村","文艺创作","生产资料","智库","
""十二","第十二个","综合","公司制"
"10","总体目标","软件园","主要矛盾","空间布局","企稳","一揽子","湘桂铁路","上游","用药","冬季","路段","闯","航空公司","亿元","承前启后","江铜","病例","复杂性","老挝","初心","白血病","稳定","五次"
