"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"1","开好局","建成","筹备","产","跨境","严肃查处","廉政","负债","权利","适销对路","金融风险"",","一圈","科教文卫","重大胜利","集群"",","尊严","汉语","瓶颈","经济","家属","
""认真贯彻","""产业结构","采用","遭受","饮水"
"2","交给","万","盐业","示范县","足够","城镇化率"",","床位","四化","三清山","市长","湖草","负责人","再生能源","强桂","鲜活","三清山","更好"",","明显好转","工作","总量"",","奠定","紧扣","岛","有线电视","公务员"
"3","提前","培育","美丽"",","露头","补贴"",","回收","重大意义","置换","返贫","中医院","实践证明","平等竞争","食用菌","超出","蒙古国","标煤","认真对待","县市区","增长","调整机制","中国国际旅游交易会","以大","各部委","环境优美","高原"
"4","及时发现","新型","老人","任期","外向型","大区","骗税","军民共建","新篇章"",","蒙西至","各国","凝聚力","三实","紧紧抓住","乏力","班子","实质","
""建立","社会","
""国家","地表水","出境","工业区","首府","水质"
"5","民主法制"",","公里","省域","清缴","四次会议","东盟","扭亏","""做","重点"",","莫","森林公园","影响力"",","宗教界","冬季","经开区","互信","金融市场","共生","重点","低保户","
""发展壮大","监督制约","顺利开展","航站","信息技术"
"6","修","公路","知","出行","村点","敬意"",","小金库","传输","治国","大厦","万左右","生产","""开放","
""五年","国土","绝不能","灾难","过渡期","企业","老挝","死灰复燃","亿立方米"",","新一代","增长","号"
"7","久","研究","家庭经营","地勘","命运","洋溪","大赛","市中心","保密","诚信教育","过坎","中华","城西","利税","八大","认真总结","初期","动车","提高","防汛","代表团","""旅游业","城市污水","二是","要务"
"8","依然","设施","第十三个","机关效能","办事机构","发展期","驾驭","担当","年底","家庭医生","云","一抓到底","预备役","万户"",","
""面对","类项","片区","港澳台","改革","创业","软件","煤矿安全","处理率","各个领域","转换"
"9","签订","转型","火灾","奋发努力","银行业","崇义","德治","消费","紧扣","辛勤努力","工作"",","黄标车","年金","涉牧","战略目标","协同","合资","千亿元","实施","忠于职守","宝骏","一流大学","""生态建设","讲好","温饱"
"10","程度","覆盖","县通","恶劣","游牧民","
""党","北运","第二","国际性","卓有成效","低成本","指标体系","趋紧","并用","""构建","光","
""社会保险","知名品牌"",","农村","动态平衡","""我国","新加坡","法制观念","同心同德","同步"
