"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"1","百万","郁江","苏区","种养业","根本利益","科技进步","高度","网络覆盖","边境县","放","民政","变化","坚实","经济","成立","处突","等七大","远程","缺水","共享"",","考上","危旧","于民","下大力气","可操作性","加大"
"2","课程","乘用车","房价","生命财产"",","医务人员","比赛","
""面对","富港","技师","油路","推向"",","种养加","大厦","增长","商品房","安康","旧","第二次","休閒","维权","大灾之年","优势"",","频发","投资决策","企业化","推动"
"3","竞争能力","控制目标","全面提高","信息化"",","
""回顾","
""科技","全疆","消极","床位","军民团结","滇西南","五中全会","地条钢","工作","牢","水平"",","热电","用房","洪涝灾害","划分","五象","每人每年","现代化","省直","同城","抓好"
"4","商会","污染环境","末梢","一年","高糖","共担","控股","油","北方","文化站","珠三角","显现"",","中学","社会","生态效益","丰富多彩","工业产品","力求","小龙潭","良好基础","航空公司","渎职","主导作用","逐年","从严治党","政策"
"5","
""切实做好","
""项目","宜居","收购价格","要准","实力雄厚","河段","电","电煤","核准","运作","工业品","西新","重点","国际航空","落","住房问题","定制","转轨","真抓实干","输入","依托","展现","""充分肯定","九年制","资源"
"6","京蒙","科技事业","外贸企业","维护","竞争性","根本性","生活必需品","总体目标","所属","集中力量","添","骨干分子","日用","实施","投贷","基金项目","十六","公司法人","因灾","总体"",","第三步","科学知识","规","
""注重","各国","特色"
"7","直","之区","中华","大事"",","工资"",","汶川","兴安盟","纪念活动","漏洞","公安干警","倒查","事业"",","务求","改革","血肉","蔗糖","""八是","尊严","家"",","低等","执业","不通","融资","美好前景","
""走","科技"
"8","事迹","国际竞争","隐蔽","炼钢","""主动","字","乡村","重要职责","四地州","价值体系","
""这是","畜种","万多名","提高","全州","柴","""切实做好","医生","孩子","保险业","产品出口","前期","河长制","运作","扩大内需","环境"
"9","沿海地区","病防治","认清形势","
""面向","九洲","城西","云南旅游","问政","严控","商事","肇庆","债","经济犯罪","亿元","协会","恢复性","平均工资","立足于","主攻","本省","建设项目"",","美好","淘汰","停止","甘蔗","深化"
"10","
""认真执行","有度","省长","对非","湘桂铁路","不小","考核办法","培育出","事业"",","种植业","遗留问题","工厂","重点学科","农村","示范区"",","原油","一届","撬动","农村教师","启动"",","两化","名村","排除","对待","保障制度","农民"
