"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","占","恢复性","社会保险","违规","巴马","人力资源","原因","主体","定力","经济","为首","白血病","力量"",","海峡两岸","实用技术","留学生","宏伟","三清山","普通高校","武","单独","发生"",","清廉","""认真落实","利用率","企业主","解放","世界级","资金"
"2","高层","气化","""财政","复苏","
""医药卫生","桑蚕","不失时机","""第二","施行","工作","庆祝","第三步","城乡人民","东巴","先进典型","劳有所得","多头","试点经验","一条龙","通行","度假区","高度重视","八是","专项规划","专项斗争","分流","景点","
""成立","目标"
"3","固体废弃物","兴国","种业","小康社会"",","资本化","玉龙","城镇化率"",","文体","国际贸易","增长","限时","所惑","整体","省情","法","比例","留人","经商","兆瓦","区域规划","切块","质量"",","退牧","发明专利","多点","工作人员","见效","较弱","科学"
"4","直供","养老金","硬道理","敢于","重大项目","石","切身利益"",","指针","高龄","社会","公共信息","坚信","齐飞","""改善","用房","遗址","类项","传销","位次","
""牢固","油","减产","执法人员","老百姓","
""区域","三张","柳汽","广电","做"
"5","自律","塑","解决困难","放开","包容","降低消耗","融通","高密度","双双","重点","难以","人力资源","有序"",","甘蔗","入手","合同","
""对外开放","跨海大桥","伦","用来","健身运动","极为","制度性","油路","
""增加","疾病","优惠","长足发展","医疗"
"6","生态"",","友好","领先水平","画派","科教文卫","呼声","舒适","争做","本土","企业","降低成本","管理权限","完善"",","港航","整体效益","开局","主旋律","严格要求","产","科技人才","环境质量"",","库区","坚实基础","成人教育","灾难","新馆","攻坚","再生能源"",","区域"
"7","妇","非公有","深远","承诺制","增加收入","创造条件"",","公用设施","溪洛渡","防御","改革","同比","思路","选举权","
""勤政廉政","领导班子","质量"",","心理","核心技术","紧日子","花山","移风易俗","石榴","优生优育","金融","复转","水"",","拉动"",","下跌","基层"
"8","
""产业结构","
""努力提高","增多","产前","工业化","下决心","有线电视","教师","德治","提高","
""推进改革","历任","虚拟","我谨","莲花","根本利益","月底","基金项目","均等化"",","筹","敷衍塞责","查询","""新世纪","恳谈会","倒塌","黑色","投产"",","从元","城镇化"
"9","七支","撤乡","泰","
""重大项目","横向","企事业","农林牧渔业","三北","全线","实施","跑","
""投资","伟大胜利","""拓展","态势"",","工厂","围","光彩","喝","
""科学","铺轨","坚守","利为民","生产线","显现"",","思变","爱民","社会公众","责任"
"10","国检","九个","中共江西省委","供热","改正","
""统筹","回顾过去","多予","制度化"",","农村","拆迁","滨湖","抢救性","家"",","钢","淡季","智能化","办事处","养殖业","适龄儿童","贺州市","阶段性","第一个","场地","赣东","复垦","考试","防灾","稳步"
