"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","
""构建","三北","汽车产业","上扬","实质","沿黄","落到实处"",","
""十一五","科","
""重点","政府","三条","筹集资金","开发"",","工业布局","省校","工作思路","超级稻","推介会","社情民意","转变职能","跨入","加","经济","辅业","银","生机","硬","受益"",","支流"
"2","面广","上年","四中","市级","各种因素","区位","转企","技师","新村","同城","服务","京","涌流","大唐","功","晶","出口产品","快速","千村万户","集中精力","各界人士","专利申请","养老保险费","工作","懒","""四是","在思想上","又快又好","党政","高等教育"
"3","传统","真贫","零部件","加工","积蓄","预算编制","进出口","存贷","境内","困难职工","保障","前期工作"",","
""大力支持","行列","聚","辅助","区内外","禽流感","自由贸易区","团结一致","承担风险","封关","苗木","增长","饮用水","经济社会"",","近几年","""提高","民主决策","各项改革"","
"4","制高点","育","于民","纠纷","集中区","出栏","全年","忘","管理水平"",","不严","做好","社保","治安","骗","首问","外企","猪","城乡居民","南方","无愧于","出生率","清醒认识","实事"",","重点","激励机制","债转股","坚强","聚居区","外销","私营经济"
"5","赛","保安","风险"",","电信","""十是","竞争机制","封育","融入","神华","吨级","城乡","百万亩","就业率","更多","盘活","浙江","编制工作","提前完成","康","进社区","周岁","接收","馆","社会","四化","质检中心","区域规划","保证金","即期","文风"
"6","和谐社会"",","策","中国国际旅游交易会","教育","老","防渗","理财","稳固","考验","过快","优化","当头","邮政","梯田","办实事","十九","扶贫济困","沉着","连续性","内燃机","兴贸","发展观","之内","企业","民主集中制","大中小城市","大幅度提高","大军","洽谈","生态旅游"
"7","盘活","接收","负担"",","资源化","重建"",","立足点","合作伙伴","机器人","跨界","炼铁","地区","岗位","状态","西出","土地利用","高质量"",","知","闯","参保","高档","回收","一百年","法律顾问","提高","近倍","创年","第五个","""繁荣","松懈","户籍管理"
"8","成本低","外部环境","财政金融","自然","净化","城镇化"",","乏力","顺畅","艰巨性","经得起","大力发展","换届选举","重振","放松","务必","集贸市场","八件","占补","城市交通","广西大学","铝材","跨行业","用水量","改革","
""重大项目","薄板","链","收集","类产品","具备条件"
"9","侵犯","所属","群防群治","关怀","用于","世界贸易组织","智库","产教","主骨架","环境质量"",","工业","全力以赴","废除","样板","大型化","高职","建镇","防洪堤","个人帐户","军警民","到达","专款","焦","农村","依法治理","全力支持","密切配合","制度化","保护性","回升"
"10","武定","和谐","""全年","宜林","秀美","技工","优越性","知识","港澳","每生","扶贫","萍钢","煤","灌区","之利","
""积极争取","生物质","节支","庸","各方","惠","运作","分不开","实施","典型","预测","奋发图强","体育产业","铲除","活跃"
