"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"1","下行","城化","材料","""旅游","求","外部环境","残","经济","心系","""方式","先锋","增值税","能力","制糖","亿元","预决算","战略重点","国外","稳疆","顺畅","摇篮","天合","高污染","
""认真贯彻","""新世纪","气化","""财政","育","拖拉","渡过难关","之区"
"2","集团"",","请省","差异化","通电"",","清水","跑道","中国人民解放军","工作","转业军人","违法违纪","营销","口径","困难","稳步增长"",","产业","批发市场","充满信心","飞地","大于","右江","净土","白沙","老口","严格要求","
""民主法制","个人所得税","重任","严","
""纲要","""扶贫","大幅度提高"
"3","无愧于","国民","同志"",","不实","纠风","红十字会","奠定","增长","文字","划分","产品出口","回顾","扶贫","""研究","工程","重心","层面","解","汤显祖","尊重知识","创建","迁移","原则上","铅锌","迈向","降到","性收费","相处","创造条件"",","交汇","结束"
"4","紧日子","修","认清形势","""政府","石化","圩堤","畜牧","社会","四川","取水","东北地区","主体工程","现代化","小麦","文化","干部队伍","四级","村点","加固","腐败分子","铝电","时艰","较大","军政","国际航空","立项","
""扶贫","高水平","独生子女","自营","塑造"
"5","农网","金融风险"",","选准","降碳","对待","获取","小康生活","重点","用足用","师资","帮","园艺业","消费","比选","制度","儿童医院","犯罪活动"",","可靠","信息网","国际商贸","食品工业","选择地","创造条件","""五年","基金会","总部","城市防洪","
""结构调整","周转量","灵敏","竣工"
"6","水利工程","菜","社会福利","倒查","商事","旧车","农贸","提高","转移","估计","工业品","工业"",","资本","工作思路","进一步","通路","尽快恢复","新上","田东","最具","利用"",","歧视","教育资源","重点项目"",","军地","中间环节","低","特殊政策","如期完成","裕民","跨入"
"7","健康检查","逐年","较多","万左右","推动力","远洋","防线","企业","控制中心","d","亿吨级","国家机关","文化产业","大力提高","体系","镇雄","窗口"",","国土开发","""农村","万众一心","""医药卫生","保尽保"",","一部分","滨湖","医师","天蓝","独龙江","复制","主动权","勤劳","之多"
"8","压实","万辆","廉政建设","迈进","基地化","现实","装载机","实施","难以预料","二次","城市公交","脱贫","支撑","每百人","水平","消耗","北汽","大为","清醒","切实增强","农业"",","山洪","自警","主力","身份","浪费","横向联合","对非","力","卡","安排"
"9","环境卫生","再生","新风","病虫害","告别","蔗糖","全委会","改革","美日韩","乌","入学率"",","省份"",","县域","实力雄厚","城市","中小企业"",","好评","普遍提高"",","优势互补","区内","一手","岩滩","篇","非常规","石榴","责","烤烟","大气环境","电信","业","""防灾"
"10","塘","偏高","""投入","聚力","技术协作","通高","时代特征","农村","头数","统调","汉语","
""党","全面完成","财政收入","市场","不当","根本保证","妇幼","负担"",","""工作"",","粗放型","""民主","
""建成","核电站","五个一工程","边境","生命线","互通","损害赔偿","
""第四","定向培养"
