"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"1","惩戒","飞机","
""第二","渝","民用","会议费","民情","产业园","防御","收","控制目标","世界贸易组织","批复","大型项目","改革","建立"",","集镇","所谋","独","缴纳","京津","由个","
""法治","经济","五个","局部地区","资源","重大胜利"",","保险机构","绩效","百万","第篇"
"2","供水","监管区","""科技","走势","万平方公里","行风","意识"",","网吧","经开区","农民收入"",","差别化","资不抵债","场地设施","治沙","进一步","新理念","病虫害","""城乡居民","矿业权","综合执法","滇西南","密切相关","数字","工作","部省","民房","建立","等国","吴圩","不懈","奥运","提案"","
"3","开荒","住房补贴","集贸市场","吸收","返贫","人人","华商","技术含量","乡镇财政","液化","浙赣铁路","致病性","第二条","更是","制度","格尔木","""稳定","治疗","解决"",","一并","民生"",","依法治国","共克","增长","跨国公司","中马","努力","辛勤努力","财政监督","突出重点","实效","美化"
"4","实话","湖泊","股票","外向","澳门","
""供给","领导班子","野生","有碍","""开放","实实在在","办了","兵地","网络化","行政","严禁","汽车产业","气热","广播","一季度","企业化","打击","到达","重点","宜人","回落","力度","全面完成"",","地质勘探","cepa","""二是","硬件"
"5","推介会","国家","港澳台侨","浪费资源","利益","特殊教育"",","效能"",","德","最多","看病","气化","土","校企","世界观","战略","总领事馆","艰苦","插手","检测","前期工作","一套","平乐","农超","企业","幸福感"",","工作效率","保护","建议"",","干流","以权谋私","废弃物","云电外"
"6","共同进步"",","打印","高峰","主动","喷灌","特困户","从总体上","多极化","台阶","绕城","管道","肩负","奥林匹克","住房面积","市场","旗市","格尔木","清","公共数据","国土资源","三五","弹性","政法","提高","建筑面积","依法治国","着力","管道","各市县","
""先进","工青妇","要准"
"7","划区","均衡"",","劳动就业","姿态","深厚","家园","注重实效","工具","系列产品","合作伙伴","薄弱环节"",","逐步推进","关进","募集","民族","牛肉","机动车","管理制度"",","建议书","重要讲话","乡政府","房子","度假","实施","兵","高一","改造","商业模式","专列","为本","""抓住","收付"
"8","改观"",","净水","政治","孕产妇","百万千瓦","总和","体质","大唐","党的基本","社会","信用制度","绰","煤炭企业","法制环境","建成","倒查","联营","挪用","
""应对","全面解决","涨价","现象"",","一步一个脚印","社会","保和","债权","特色","管不了","打牢","以下几点"",","环境优美","政绩观"
"9","科研人员","南宁市","说","滨湖","入桂","
""学习","屯级","调优","总理","动态平衡","孟","民族平等","安全形势","治理整顿","切实","慢","丰硕","星云","机关效能","世界遗产","千万只","崛起"",","歧视性","农村","科技咨询","奶农","中心","
""适度","核算","办复","全面推广","中药材"
"10","产品产量","滇南","广通","提高素质","之区","面向未来","公开"",","有限公司","纠正","依赖","""两个","实干","新线路","
""城镇","铁路","缺陷","溪洛渡","休牧","执行力","中流砥柱","文具","沈客","安源","亿元","高调","创新能力"",","各项","赤峰市","党的领导","楼","商业保险","重点难点"
