"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"1","经济","盐","联防","主导力量","圈","废气","合法","会议费","城市规划","落实","远程教育","深度加工","实情","管护","直升机","死亡率","服从","强制性","死亡","素质"",","并网发电","示范点","几个","部队","""贯彻","放松","各项改革","不良贷款","勤俭","三元","一百年","置","事故隐患"
"2","工作","个体","丽","参展","主导型","工程建设","脱贫致富"",","荒漠","付出","规划","手机","均居","解决","共享"",","目的地","宗教团体","长城","计划生育","内河","存贷","遭遇","首次","环湖","欧美","团结互助","经验","脆弱","现代文明","发电","极端化","成效显著"",","成长型","生活富裕"
"3","增长","真抓实干","积极性"",","莲花","敬意"",","分工协作","不利于","生均","当地","创业","违规行为","拥有","超标","抗灾救灾","重要途径","廉政","钽","播种面积","赢得","问政","修","东南","并行","利为民","家具","村口","众志成城","近岸","乌鲁木齐市","正视","管理机制","市场机制","懒"
"4","社会","重化工业","转移性","伦","损毁","
""公路","创优","处理厂","决策程序","组织","普惠","针对","降到","祖国统一","差距"",","难以","极","水电站","安居乐业","以新","一视同仁","三千","烟叶","六届","兴牧","雨露","大奖","创业","面临","综合性","轻工","符合国家","管理水平"","
"5","提高","向上","排第位"",","期待"",","农机具","双边","节约使用","食糖","邮政","开工","两次","林下","档次","""城镇化","兴旺","三张","精神力量","两岸","视频","适销对路","
""社会治安","弊端","顺利"",","跟踪服务","中南半岛","城市"",","现有企业","增势","流通渠道","利","第四轮","常","住宿"
"6","重点","暴力","留给","""扎实","要活","频发","浪费资源","配合","治理"",","下","大兴安岭","工业布局","铜业","格尔木","滇西","许可证","国有产权","关键性","跟进","同呼吸","终结","外包","尽责","牢","草","新起点","出让金","支援","生等","地名","备案制","奋勇","公立"
"7","企业","
""认真贯彻","网格化","敏","上报","退化","艺术节","协议","制品","融合","对策","供求","压倒一切","总产值","浓厚","
""特别","吞吐能力","衷心感谢"",","纪念馆","违规行为","特殊津贴","网络管理","经办","上线","破除","代管","玉","属性","改道","接轨","导航","双层经营","缴纳"
"8","改革","周转","应诉","""引进","气热","美德","城市道路","险","区外","防治","战略思想","新网","政权机关","稅费","一体","主产县","能源工业","县管","评估","依靠人民","手机","一条","驾驭","生活"",","超额完成"",","各国","讨论","管不了","绝不能","疾苦","考核","扩招","结对"
"9","实施","云南大学","先行","千万只","
""第五","两条线","搞","放宽","投资体制","覆盖","感","宜","娱","亚欧大陆桥","一半","聘请","乡镇干部","病防治","国家"",","薄弱环节"",","预算","大幅度提高","小康生活","总支出","企业主","广大群众","枯竭","六寨","浮夸","油茶","预测","难事","当地"
"10","农村","
""国民经济","稳步"",","
""去","防艾","一体化"",","省院","投","各族群众","交通","严防","广西师范大学","新居"",","达效","长效","回归","兰州","
""城乡","组团式","文得根","主通道","新路","铁路运输","""开放","灵活多样","全力以赴","预","铝合金","老人","清产核资","
""积极支持","婴幼儿","於"
