"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1","检验"",","后勤","休閒","亿吨级","稳定器","
""充分肯定","跨年度","一路","竞争能力","防火","文章","地质勘探","金融中心","经济社会"",","伊犁河谷","覆盖率"",","兴贸","鄂尔多斯市","经济","完善","创造性","乘势而上","减少"",","基本工资","撤销","成本","煤制油","对话","事关全局","惠农","民主权利","机械装备","路上","原因","和衷共济"
"2","整理","打通","月底","习俗","自筹","城市"",","水权","加速","具体办法","零增长"",","体质","相处","十大","一议","团组织","承载力","""重点项目","水务","工作","服务","多元化","型","理性","航站","转移"",","萍乡市","机电","学年","公共政策","展望","分裂主义","立足点","文物","千百","消防安全"
"3","救灾物资","大石","
""生态","便利","案件"",","方方面面","技术咨询","紧密团结","两条","闯出","程度较","省市区","闸","早","旅游"",","宗教界","传统媒体","基金项目","增长","人民","垄断行业","总数","扩股","达标"",","懈怠","转机","随迁","民间","贵阳","租","西双版纳","偏远","单体","巡回赛","严惩"
"4","区域规划","磷","有人","化为","出海","监管区","分税制","大力开展","电力供应","末梢","园区","
""改革开放","高层","区位","热点"",","大众","""改造","明显改善"",","社会","稳定","更具","粗","外企","休","沿海","保安","油气","繁育","紧张","黑臭","不搞","平均","历史"",","环境监测","接"
"5","残","详查","化","额度","营业额","家园"",","铁山港区","""做好","养护","满意度","广度","防城","持股","外交部","机床","落到实处"",","解放","东风","重点","收入","不严","大朝山","节地","扩招","公开","轻轨","中转","向西","果业","跨行业","建档立卡","国土开发","域","""制定","专项规划"
"6","郑州","退休职工","对外商","和谐社会","加深","城","华诞","风电","灌溉工程","方法","上档次","条块分割","盲目投资","利益","汇集","""开放","市级","一步一个脚印","提高","强化","当年","于民","改增","技","珍惜","批","质量"",","林田","永远","网络"",","""农牧业","学者","村"",","扶持","海绵"
"7","文学","遭遇","丹","地域","
""目标","韩","可比价格","水产","差距"",","预算编制","管办","赣欧","人口质量","整体实力","腐败现象","意见","绝大部分","次贷","企业","转移","异常","出列","城市规划","陇川","拿出","敏","万件","交换","艺术创作","中共","支柱产业"",","增值率","培训基地","
""推进改革","发展观"
"8","就业门路","工","择优","治旱","股票","""繁荣","追究制","模范","亿元"",","工资"",","年度"",","挂包","
""投入","籽","薄弱","分配关系","
""消费品","全南","改革","质量","保护性","超采","万千瓦"",","配套工程","高级","稳步增长"",","兆瓦","护理费","面前","职教","共生","责无旁贷","资本化","中共云南省委","上升期"
"9","名品","六大","良好效果","信誉","帽","堤防","场地","拓展","坂","缺乏","提档","gdp","依法取缔","索","作风"",","抓好","句号"",","建疆","实施","精神","过渡期","延伸"",","模式","局部","十二","清费","补贴"",","""医疗","战略性","总揽全局","""自觉","政治文明","转口贸易","三峡","福达"
"10","历史进程","两岸","较高","业主","禁区","安全感","蒙古","保税","跑","中小城市","温","电","产业群","坪","去向","管理决策","集约","
""供给","农村","中央","恳谈会","低等","附属","零的突破","
""协调","紧迫","单独","江铃","奶水","""方式","充分就业","勇于创新","筹","大区","地率"
