"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"1","经济","文物保护","民族区域","武装","拥有量","住房"",","演出","整治"",","销售收入","签署","好转"",","大唐","城镇化"",","
""国有企业","第三轮","文字","保险资金","法制观念","初步成效","厉行节约","时限","传染性","尽保"",","最具","协调"",","好头","深深","普查","边境贸易","阳光工程","支持","三峡","稳定器","参与","快递","唱响","第四轮"
"2","工作","越权","海峡两岸","直","法律法规","幅度","师资","横向","博士学位","矿产资源","坡","新疆生产建设兵团","服务行业","惩治腐败","民主化","层面","性质","有望","包头市","打出","紧张","链条","疆内","依靠人民","政治","融合","要活","矿产","成长型","吃","服务","品牌战略","医科大学","浙江","深","兴贸","库区"
"3","增长","客车","医务人员","国际形势","酒店","车马","砥砺","工业园区"",","措施"",","界限","上扬","会风","黄桶","公交","会展经济"",","消费者","正派","懒","低等","卫生所","做起","
""国家","飘浮","全日制","银行业","监督管理","咖啡","奥林匹克","精通","腐败问题","生产","蒙医","生物质能","突出位置","村容村貌","跃升","全面进步"
"4","社会","谋发展","残疾人运动会","耕作","埠","主体工程","起点"",","支撑力","和睦","合理流动","省级重点","""三农","落到实处"",","文化"",","社区"",","这篇大","""农村税费","损失","中介机构","振奋精神","数","过上","达产","村干部","机动车","水毁","下降"",","有限","音像制品","经济损失","政策","会展经济","清醒认识","漏洞","思想","注册资金","银政"
"5","重点","
""应对","群","构建","经开区","机械装备","烧碱","几年","千百","效应","信息化","蓝天","
""认真执行","
""精神文明","苗木","阿克","
""预期","""设立","扰乱","不容乐观","流动","轿车","唇腭裂","理财","服从","贸易中心","富有","拨款","各项任务"",","正确认识","基础设施","整体实力","""项目","宽","开拓市场","放到","
""引导"
"6","提高","物流业","劣","输配电","脱硝","肉蛋","武定","比上","早","赴","
""成功","入户","努力奋斗","感情","武宁","导致","涉企","国门","防城","多予","电化","手术","改革","气","铲除","整乡","朝觐","之多","放缓","长","城镇","硬件","形象"",","消极","有度","市民化","食用油"
"7","企业","上年","余地","啤酒花","传输","旅游文化节","东联","富港","库车","通乡","立体式","草原","惯性","干净","征途","退化","严格遵守","意外","""针对","用到","坚定不移","""国有企业","滋生","""疾病","尼尔","作","执法权","占有","整体效益","同城","资金","
""省政府","机床","超常规","健康"",","数控机床","金融中心"
"8","实施","一批","怠","咬定","中后期","项新","经纪人","清理","创意","虚拟","聚合","坊","依法取缔","前期工作"",","危","金融危机","大龄","工厂","保健食品","""党","巨人","烯","渡过难关","定制","群众"",","期待"",","火灾保险","产教","花园","后生","资源","增创","第十三次","浮躁","新亮点","医养","快速"","
"9","改革","程度","绿水","着眼於","
""大力开展","开明","党执政","会议费","亿吨"",","姿态","七项","改薄","
""土地","牵引","稅","更要","宁蒗","劳模","无限","关","开工率","汽车城","华商","科研","湘桂铁路","忠诚","围","原始","清零","田","新增","钉钉子","边关","公共场所","歌会","钾盐","网架"
"10","农村","生产","永续","骨干网","正确引导","金盾","股权结构","到期","负责人","优越性","总支出","发展趋势","工业污染","新动力"",","家园"",","使","密切相关","安心","定","空间"",","条件成熟","衔接"",","虚报","界","减少"",","用人","临空","光纤","霍","自行车","科技","调查","大堤","上访事件","保护环境","严格管理","关丹"
