"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
"1","主导型","柳","层面","充分肯定","入桂","施工","边贸","多发","宜居城市","占全","场地设施","标准","淡季","经济","驰名商标","多予","着眼点","分支机构","推向"",","通气","超标","净","廊道","铌","监督制约","忧","式","繁育","客源","环境保护"",","萎缩","并联","岗","中国共产党","分步","产业","市场份额","结对","予以","多办实事","柳州市"
"2","彝","第十届","扬尘","用好","微型","万座","潭","生产布局","人大常委会","促农","东欧","战略","独龙江","工作","第七次","送电","草案","选聘","南康","
""第六","收官"",","中关村","""一年","持平","决策","城等","北京","字","作用"",","ldk","感谢","根治","肉牛","建筑业","第二个","完善","集中式","文化遗产","家属","家园"",","联合体"
"3","优良","运输","贷款风险","合力"",","新一极","升","北汽","可望","现代化","分税制","依法惩治","贯彻落实","保险机构","增长","法律手段","藏","单元","成本上升","认清形势","预防","市场准入","极端","林区","职","桑","时限","邮政","食品工业","轨道交通","速生丰产林","出口产品","储备库","违约","集体","结晶","制度","欧美","""十是","固","来源","渔业"
"4","交会","盈江","示范作用","补贴"",","疾病","趋势","小康"",","改增","深远影响","菌","水资源","创建","公共事业","重点","
""人口","药","农超","生态效益","乳品","出版事业","舍饲","集中度","精準","这条","
""保护","就学","万千瓦","服务体系"",","抗灾救灾","伊犁河","饮用","兴办","不骄不躁","
""医药卫生","求实","体系","再","坡","考核制","用到","自行车赛"
"5","高地","服务行业","命运","预算外","相适应"",","和睦","小龙潭","成品油","古","归并","建镇","出台","""城镇居民","提高","
""财税","接轨","万里行","
""国民经济","
""解决","""妇女儿童","回落","快递","中转","面向","非营利性","保险"",","高档","盐碱地","缓","承包经营","邕江","严守","特种","符合","榆","水平","群防群治","消除","关丹","技术培训","柔性化"
"6","精神文明"",","几个","电量","办医","
""产业","新上","石榴","埋头苦干","两轮","好收成","万里","财政","腾讯","实施","芳烃","薄弱环节"",","安全事件","""国防","多渠道","查办","易燃易爆","数万人","采收","区划","勤俭","""统筹兼顾","青贮","利用"",","""教育","特困户","机械式","综合利用","涉牧","同胞","轴线","抓好","基站","乐滩","传统美德","创业"",","按劳分配"
"7","近年","相关","弥蒙","出路","牌","过上","安康","出生率","创造条件"",","
""新增","总额"",","遏制","发放贷款","农村","建设项目"",","动态平衡","万套"",","村办","城市公交","纸浆厂","激情","重组","蒙牛","罚没","窑厂","样板"",","强中","清醒认识","準确","重用","""第三产业","那种","财政困难","惠","壮丽","管理","纵向","砥砺","思想路线","团","民间文化"
"8","探明储量","""环境保护","经济社会","设区","商用车","敬老院"",","文艺演出","新进展","明晰","未用","苗木","程度","经济协作","社会","干部人事","承包地","牲畜头数","多种形式","跨部门","递增","宽广"",","农信社","向前"",","基本工资","决不","所惑","硅料","核准制","外环路","中东","假日经济","埃塞俄比亚","一点","劳民伤财","以铁","生态","攻关项目","突发事件","亿吨"",","市市","多谋"
"9","火区","双拥","质量标准","非政府","
""房地产业","学科点","留有","拓展"",","云桂","攻","
""交通","股权","
""重大项目","亿元","返贫","服务器","走上","国债资金","码头","深入人心"",","力气","两化","补助费","转变观念","蒙药","嫩江","知难而进","发展趋势","乌伦古湖","关键作用","名优产品","重要依据"",","善于","行使职权","娱乐场所","机制","身体素质","充分体现","自治","发酵","找准"
"10","环境污染","储量","打响","东亚","禀赋","前向","办复","黄桶","建房","物流园区","上线","回顾"",","速","企业","
""财政","以人","乱罚款","签署","三大","住房价格","配气","设施","贮运","溪","劳动者","课程","京津地区","本省","教育网络","人尽其才","运营"",","诉讼","游客","商事","上大压","稳定","名片","安居乐业"",","岛","主持","走"","
