"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42"
"1","现行标准","偷税","八个","七彩","稳控","抚","""发挥","废气","各种因素","额","市容","景谷","人生观","经济","过硬","万多名","肩负","文体","农业","期盼","一并","低效","非常规","河内","有望","职能部门","走过","质量","亲属","镇雄","""交通","更是","下沉","活动"",","世纪","适销对路","各方","思想路线","人寿","科技人员","高强度","管理科学"
"2","银行信贷","遗留问题","七五","急诊","大赛","反动","
""文化产业","百日","用权","
""十三","分散","测算","这道","工作","深圳","达"",","幸福美好","筹","生产","周","稳步发展"",","内","教训","特定","信念","梧州市","一步一个脚印","流通","低端","出版事业","打出","宪法","办了","涵养","出栏","宽带接入","隐性","支持","干流","自然科学","建材工业","小学"
"3","""工作"",","可靠","选举权","商贸业","衬底","田东","湖口","共和国","督察组","铝电","通货膨胀","盛会","职级","增长","医养","平","在内","发挥优势","合作","筹措","自建","两条线","系列产品","助","潜能","豆类","创优","高效","系统性","宏观政策","长久","五象","报账","阿尔泰山","低产","国际商贸","民间艺术","科研项目","生态系统","保险金","语","选派"
"4","灵魂","幼儿园","粘胶纤维","艰苦创业","放缓","课桌椅","集装箱","配套措施","家业","建筑","""户籍制度","曲靖市","按时","社会","生物质能","投资体制","市区","""城乡居民","城乡","繁荣"",","特产品","代价","主力军","遗留","速","畅","有步骤","维护","民用航空","瓷","马车","略有","一次性","调控","一期","跨部门","辛勤努力","购物","团结奋进","技术装备","毛竹","贫困山区"
"5","改善生活","劳动就业","廖坊","巡回赛","工青妇","六件","持续增长"",","江","岁","个性化","略低于","选准","大江","重点","保障线","科学技术","感"",","石林","特色","在校生","改道","拉动力","做强","侨务工作","万里行","领军人物","纳入","民族团结","管网","利用"",","办公室","""科技","百万吨","本专科","超过"",","光学","队伍素质","传承","十七","人员编制","主板","重创"
"6","消费者","国民收入","促使","充分肯定","有限","圣火","支柱","加工工业","奉新","相匹配","财政拨款","贵阳","强制性","企业","途径","凸显"",","聚居区","就业指导","农民","新亮点"",","主渠道","农药","远程教育","书记","滩","
""传统产业","士兵","第一","成果","立足于","能源","认真贯彻","水产品","例","绝大部分","积蓄","下一代","元阳","市场竞争","扶志","网络传媒","压倒一切"
"7","总结经验","""石油","休耕","亚洲","千村万户","甫","物流园","物业","取得成功","支柱产业"",","洪屏","信息化","油田","改革","部际","标识","抚仙湖","向北","实施","温家宝","趋利避害","和谐社会"",","繁育","交易所","招标","基金项目","零关税","振兴","要准","""生产","转移","
""食品药品","填补","因灾","转包","不高","项"",","疆电外","强化措施","再生","滇中","结构性"
"8","剥离","大军","达元","达户","特大事故","体育事业"",","""繁荣","向省","千家","需求","组团","联合开发","调水","提高","中高级","十类","丝绸","货币政策","科学","
""全方位","扩展","含","小厂","妥善解决"",","法制宣传","转换","旧城区","信贷","下大","高校","泰和","特别是在","家庭"",","点上","去年初","""作风","公益事业","不了","湛","半停产","庙","适宜"
"9","世纪","连旱","北疆","决不能","结婚登记","原定","克服","三是","稻谷","荒滩","坊","美丽"",","準确","农村","累积","光荣传统","之旅","煤炭","引导","奖补","家政","""新建","分层","铜材","自然保护区","陶瓷","拼","条","经营型","风险投资","打防结合","团组","民心","品学兼优","组装","乡村干部","煤田","培养人才","交易"",","隆林","德保","拉开"
"10","永福","大中专","挂钩","柳江","收看","摸得着","药","地质公园","认同","违法犯罪"",","依据","所属","
""新开工","亿元","较慢","分行","辍学率","退耕","持续","在校","偏远","小草","限定","交通管理","风格","达成","森林草原","一是","实施细则","关键作用","兴省","万标箱","高性能","洗衣机","""针对","""服务业"",","无缝","华广","无一","地市","养护","权益"","
