"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43"
"1","造就","经济","路径","公道","村寨","期","较长","因地","达标排放","条块分割","网络平台","节约资源","现代化"",","安危冷暖","谋求","招商","工业品","激励机制"",","""这是","两千","""通信","入世","惠牧","高潮","孵化","气化","工农业","有机硅","凝聚力","农村公路","重大项目","喀纳斯","牵引","勤奋工作","海洋工程","重点","行政责任","垦区","诈骗","风电场","执业","一场","制造"
"2","
""政府"",","工作","干渠","管网"",","全疆","聚合","指标体系","已有","
""走","班轮","计划指标","复员","战略思想","十次","稅费","党代会","繁荣","发行","引咎辞职","小水电","""户籍制度","小康"",","巡回赛","缺水","民主法制"",","共同愿望","贵","本世纪","建制","保持良好","归宿","激活","母婴","出口"",","大有可为","工程","为辅","下滑","拉动力"",","倍"",","硬仗","发送量","兴新"
"3","扯皮","增长","立体式","售电","ppp","造纸","责任制"",","政企分开","园林","对下","体育赛事","较好","啤酒花","译制","千吨级","政策性","主产县","新型农村","安排"",","用年","阿拉善","贡献率","请予","昌河","钾盐","两带","对非","索","一群","查村","保险金","深入调查","扶贫帮困","动态平衡","""立足","创新","平","化发展","同登","""群众性","化学工业","外资银行","饮用水"
"4","力量"",","社会","""精准","生活区","探明储量","股票","信息网络","化石","摘帽"",","平稳","不断深入","劳动密集型","过坎","营商","五七","人民解放军","宜人","塑","航空网","确实","变电","定居","反恐","许可","褐煤","电源","顺畅","质量标准","绒","科技馆","参公","发起","乡镇干部","首期","刚性","管理","民工","教材","粮仓","出区","
""勤政廉政","美术馆","中介"
"5","重点项目"",","企业","滥","水窖","gdp","梧","输入","迎庆","统计调查","富","微型车","艰巨性","撬动","洪源","统筹规划","项目"",","清除","就业人数","大县","信息中心","森林公园","严厉查处","涨幅","职业","""精神文明","经历","职业培训","兴水强","问责","宅基地","养老保险费","财政监督","价格政策","国际经贸","营","农业","姿态","变速箱","要稳","涉","喝","平等竞争","万多公里"
"6","体操","农村","庙","宝贵财富","开辟","初显","差距"",","宣讲","土坯房","引导","改市","驰名商标","勤勉","发声","加重","成果","汲取","承包工程","犯罪活动","名义","两项","勇于","做","联欢","一步","规范化"",","撤并","集中精力","外商投资","美丽"",","隆安","懂","党政机关","重用","推广先进","抓好","停车场","强迫","中华文化","第三步","抓","万多平方公里","沾"
"7","落实政策","提高","重大意义","稳步增长"",","矫正","一口","富","习惯","摆脱","地税","乘数","宏观调控","饮水困难"",","接待费","改水","六大","交汇","免征","海洋工程","柳江","文艺创作","
""科技进步","小康生活","乡政府","大力提倡","政治责任","各族人民","责任制","园林城市","追究制","明显好转","周全","引资","咬定","产教","生态","重度","品","干部群众","北岸","员工","特产","音像"
"8","公司"",","实施","防病","多亿元","病例","这方面","冶金工业","每生","估计","群众"",","弯道","下降"",","初中班","适用技术","直升机","深加工","统揽","消费"",","和谐","奢侈浪费","肉牛","加强团结","昌都","微观经济","工青妇","农机化","一道","一票否决","检","研讨会","武定","""筹措","开放平台","心连心","大通关","工业","杜绝","歧视性","作用"",","强"",","柴油","办案","八件"
"9","两轮","改革","保障体系","问政于民","经济损失","含金量","有效性","外交部","倍加","""切实","张","受理","
""精神文明","
""应对","潜能","批准","统调","即期","做起","边陲","外向","里格","爬坡","货量","知","经作","""大力开展","罚没","兆瓦","小镇"",","树皮","兜","保险金","社会福利","放手","生活","在内","乱收费"",","生物","供","""三农","高温","上线"
"10","
""公共卫生","产业","人民币","额","良好形象","执收","初步成效","自力更生","国际品牌","可操作性","大军","激活","六寨","扰乱","污染物","互联互通","依法办事","二氧化硫","处突","扶贫济困","萍","不断进步"",","马中","公共交通","赛维","鄱阳湖区","伟大成就","学籍","""投入","民情","南湖","预谋","湖","
""党","学院","能力","德","授予","""医药卫生","摸清","乳制品","
""拓宽","方法"
