"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"1","定制","绝不能","堵塞","浦北","保障线","电站","经济","保鲜","再生能源","新闻媒体","要带头","缺乏","兰","病有所医","氛围"",","合作开发","扎","省长","专线","多万吨","力度","预料","晶","农村面貌","实力"",","普通高校","短","万件","借助","营造","八个","实际行动","纠错","分解","矿业权","示范园","冷轧","施工","和硕","总量"",","城市规划","职级","避灾型","
""十二五"
"2","微观经济","重大胜利"",","利益"",","秸秆","复航","集群"",","工作","辽","措施"",","软硬","环境优美","主导力量","清缴","全方位","联欢","高原","权能","足够","产品产量","热爱祖国","城市","连接","相适应","培养","运输网络","之利","乱采","文件","采矿权","经营"",","使命","进社区","交给","废水","共赢","集团","弥蒙","
""第二","尚需","饮食","科技知识","入赣","沿黄","南向"
"3","下一代","比例","镇雄","
""预期","内引外联","""十一五","增长","感情","充满信心","鲁甸","农机","扬尘","办学"",","和谐"",","嵌入式","多于","孤立","安全监管"",","支撑力","不搞","合作","放手","
""努力","网络化","特殊作用"",","一策","监督"",","贡献率"",","支出","疫苗","指导性"",","公交","发展前景","回头","乡乡","管理模式","灾害","战略"",","
""信息化","""协调","防渗","舆论监督"",","乌兰牧骑","脚踏实地"
"4","歧视性","签约","金融体系","城乡规划","滨湖","承上启下","社会","违反","认清形势","方法","木薯","力度","可再生","适销对路","更是","档案管理","环境监测","石滩","日用","九连","综合","憨","不合理","基层","不多","职","美术馆","废气","
""扶贫开发","军警民","转运","""推动","无愧于","艰苦创业","宜林","露头","贫困生","补贴"",","全线","越过","木卡姆","滥","撬动","盖度"
"5","针对性","大班","输气管道","丧失","""创新型","兴赣","重点","名胜区","节本","根治","结转","变革","公报","若干","跨境","地质公园","一季度","税","内外贸","赶超","新增","总领事馆","紧密结合","粗放型","
""各项改革","绝不","国际航空","必将","异常","东北三省","""大力支持","发展史","多办","妇","江中","国门","技术水平","
""市场","筑牢","建制","废除","浓郁","坚强意志","通路"
"6","方针","制造","集资","严控","成功","由年","企业","川","透明","课题","填埋场","机遇期","科技事业","金鼓","粮田","积极性"",","蔗糖","区域规划","启动"",","""立足","能力","危机意识","范例奖","稻谷","南丹","薄板","三实","洲","显著成绩","集聚"",","质检","标準化","文明"",","区别对待","三分之一","印度洋","宗教观","回乡","主管","分布","贸易总额","世界贸易组织","百科全书","自然保护区"
"7","门诊","竞技","跨越式","
""自主","电子商务","做起","提高","
""开发式","后劲","转为","龙寺","警惕","保证","毁林","无所作为","赞誉"",","出口"",","
""办好","亮点","萍钢","科技","一步一个脚印","举世瞩目","城市规划","""七是","形象","大气环境","专题会议","精密","除尘","相通","超市","劣","码","技术创新","前沿","岩画","慈善","金属","届满","市容","责问","龙头企业"",","欠发"
"8","兴","流失","各项政策","茧","销售","代表大会","改革","文献","证明","高起点","证照","诉讼","电化","假日","大型超市","
""统筹兼顾","督办","聚合","""增加","跑","特色","七项","大连","身份","国际竞争","有效途径","疆电外","地勘","人心","氏","赣台","内"",","乡风","区为","排第位"",","真","高附加值","协会","会展经济","开采","造地","科教文卫","中信银行","水土资源"
"9","来得早","污染物","依法行政"",","送出","地条钢","补齐","实施","草食动物","工伤","零部件","中巴","万余","九年制","大病","柳湾","差别","柳东","老弱","新气象","不懈","强化","服务区","通胀","红塔","交通拥堵","精心","再生能源"",","华商","晶能","投入使用"",","村"",","减量","农林水利","不断进步"",","扩招","动车组","战略重点","普通高中","资格","唇腭裂","公共事业","水运","续","开放式"
"10","河池市","""设立","索","两个转变","水稻","板块","农村","大楼","保税","长足发展","出口产品","用户"",","中越","联合体","扶补","集宁","周转","吉林台","建筑施工","优良传统","开放","组装","天保","腐","农民收入","发放","低价位","统领","恶化趋势","博会","还要","社区"",","区域合作","多人","辛勤努力","生计","发展期","各界","温饱","货币化","初显","互换","因乡","回暖"
