"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"1","图书室","消化","公交","万家","用水量","心血","共享"",","湛江","实用技术","监督制约","授予点","干旱","深远","经济","草地","马中","""国有资产","清明","九连","大姚","意志","""引进","征用","插手","溪","文学","总揽全局","伟大祖国","梯度","精干","交通枢纽","增粮","基础设施","制度","空气污染","海峡两岸","标準化","能耗","武装头脑","消费者","第五轮","适用房","倒塌","门","增值"
"2","标箱","摘帽"",","马山","客源","加紧","黎湛铁路","宏观政策","外环","价","通航","运动","观光","产区","工作","国防建设","百","呵护","挖潜","""实行","边关","主动权","倾听","干扰","思","灭火","""组织","救助","低","关怀","殷实","古籍","登记制","确保","抓好","景点","千方百计","
""支持","自主权","企业化","长江三角洲","金盾","专项斗争","扫盲","干部人事","奶"
"3","名列","经商","指标"",","黄金水道","努力奋斗"",","极","出版事业","达"",","
"""",","大胆","在校生","面貌","河道","增长","全线通车","铜镍","过坎","互助","句号"",","钨","工会","增","商品化","并联","华商","蒙药","""旅游","蔬菜基地","用来","正确认识","冲突","新生","大力发展","项目","腾讯","细化","优良传统","""做好","万件","
""以人为本","配套工程","迫切","立足于","付出","学者"
"4","美日韩","和睦相处","国有企业","经营方式","造地","授权","粮食安全","预防为主","加固"",","文化"",","直播","之利","初期","社会","城管","生物医药","""关心","""出台","以旧换新","下降","英雄","每百人","分別","初级产品","瑞","不通","""关心","结构调整"",","发挥","保障"",","柳","诚挚","工作"",","民生","批发","转化"",","占领","石材","铁山港区","专家论证","百年一遇","喀","互通","价格上涨","政权建设"
"5","老少边穷","中俄","党和国家","技术引进","采矿权","控制"",","矿山","内地","程序化","第三产业"",","合作伙伴","例外","须","重点","持续增长"",","起草","扭转","烟尘","长期性","银企合作","城镇","输电","积极参与","牛羊肉","同等待遇","遗留问题","物","日益完善","略低于","正确性","""针对","
""聚焦","目标","技术","新钢","维吾尔","供气","信任","假日","""刚刚","""稳妥","社会各界","跨越","百万亩","结合实际"
"6","种养加","技术成果","件"",","幸福生活","国家标准","安置工作","综合执法","核心技术"",","中俄蒙","肩负着","稳健","""资源性","奶粉","提高","
""水利建设","一体化","基本建设","六进","五区","潜在","节能产品","公共事业","倒逼","泰","分层","诸多","三中","在工作中","""清醒","增减","扩招","公用设施","村","目标","企业化","一品","合法","籍","嵩明","优良品种","产业化"",","火炬","兼顾","饮水困难"",","
""建立健全"
"7","重化工业","裁量权","体育场馆","固边","等同","放手","绩效考核","
""产品质量","历年","屯河","并举","关口","加成","实施","基础设施"",","穿","美化","保护性","密织","科技兴农","闸","造","开业","拓宽","篮球场","梧","立城","拖拉","""抓紧","正由","不稳固","适龄儿童","团结","统筹","创业投资","档案管理","税制","固定","缺点","河段","经济","来宾市","少数民族","明年","萍钢"
"8","较重","文件精神","动漫","羊","字形","外包","蓝天"",","对非","
""非公有制","纯收入"",","谋求","三股","攻坚克难","企业","""建成","六件","商贸城","管理体制"",","资源共享"",","生态化","藏","赋予","扩","
""改革开放","发力"",","冠捷","金砖","统分结合","令行禁止","瀑布","参展","新机遇","水库","体制改革","虚夸","险","复制","设置","通畅","及早","搞活","钥匙","不正之风"",","头脑","条块分割"
"9","""进一步提高","德","东湾","未来","脐橙","雷厉风行","所在城市","次贷","配电网","思想解放","不断完善"",","
""社会","精细化工","改革","隆林","""不断加强","置身事外","不断扩大"",","理解","送电","人群","转移性","""自觉","预测","四季","锻件","自然风光","良好条件","学费","以盟市","遗","援助","融合","措施","住所","优良传统","零售总额","原产地","广度","速生丰产林","经开区","江苏","市市","性障碍","留给"
"10","宽带接入","批复","尖锐","车用","六期","秋冬","观音岩","先照","减免税","电脑","社会公众","调整布局","拉长","农村","互助","条出区","精彩纷呈","打假","保护模式","村村","投产","建国以来","接近","边界","流化床","改市","四所","万左右","弥蒙","液态","观众","万吨级","创新能力","粮食","
""农民","张","资","文化遗产","本地","工业","档案馆","驻桂","""全面推行","城镇"",","善于"
