"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"1","物业管理","开局"",","就业门路","贡献","磨","截污","第五轮","海域","宪法","小","风力","沾","国际贸易","各个方面","周转量","策划","增长期","列","信心","英雄","参展","还要","怀化","
""聚焦","抚","节余","码","产业","店","
""现代农业","水稻","呼","
""工业","清晰","重大进展"",","全局性","迫切需要","年产值","获取","
""开工","经济","涨幅"",","带乡","峡江","通道"",","精密"
"2","全线通车","三位一体","尽快恢复","武警部队","大化","创新型","合理流动","石滩","生命线","政商","万件","促农","地市","湖出","""清理","教育","对台","彝良","储备","奢侈浪费","湖北","三张","重大成果","高等学校","刹住","惩戒","团结互助","水平","面上","塔里木盆地","组团式","国际品牌","阐述","食用油","凤","固体废弃物","容量","海","""优势","医务人员","工作","效益型","户","链条","税收收入","环卫"
"3","经验"",","租","退役军人","选择","欢乐","会展经济","计划"",","电视","奶水","浓郁","斗争"",","差","指导性","总体目标","借鉴","省属","本质","教育引导","服务水平","应用型","单体","综治","
""社会治安","深远影响","转轨","越南","财政监督","生产","致远"",","金属","原则上","创先争优","交易中心","水城","股票","还草","评审","既为","全年","凸显","社会","出版发行","""全民","
""刚刚","万例","医患"
"4","双双","转移性","文化名城","监控","捕捞","综合性","慰问","
""抓","利用率"",","协调性","赣深","期待"",","增减","客运专线","""资源","
""牢固","拜","
""人才","工作作风","市民化"",","石林","汇聚","""供给","漂浮","""防范","机关干部","难事","政策","冰冻","新闻媒体","脱颖而出","富蕴","低温","创新能力"",","博物馆","易发","驰名商标","固定","增开","均等","重点","换届","安置工作","新气象","水电","管理机构"
"5","争议","凡","恶劣","负面","不思进取","组团","前行","支农","计算机","各种渠道","总体水平","转向","成网","起草","须","低丘","城镇居民","尾气","难题","报酬","到位率"",","和谐社会"",","水权","涉案人员","""激发","理想信念","民意","机制","航空网","抓紧抓好","走私","规模"",","""科技事业","周边地区","报销","自然景观","两条","胶","委","相关","改革","行等","庙","消化","灵活多样","
""国民经济"
"6","高效率","多极化","第一","流动","入住率"",","非农产业","办医","补充","个人帐户","确认","
""旅游","广西师范大学","收益"",","事","涨幅","公报","之初","盐","枢纽","错误","国家开发银行","丰硕成果","形式多样","技能型","邓小平理论","办学"",","稳定器","合作","几个"",","沿海港口","一步一个脚印","引智","
""这一","海洋","库车","主干","九是","走向","白鹤","报业","企业","""城镇居民","勇气","全面完成","不正之风"",","义不容辞"
"7","寻乌","九个","海拉尔","天然林","电费","第三步","保险"",","现代农业"",","后期","附加值","一手","始终保持","固化","滇西南","肩负","资产重组","信息反馈","外销","西","缺位","严重不足","驮","西津","独龙江","流","处罚","亲临","城镇","多种形式","承诺","外省","利用率","优胜劣汰","支牧","汇集","新旧","物种","栽培","都市区","北方","实施","经济协作","告别","样板"",","数字电视","职业"
"8","零的突破","轴线","第五个","搭建","渎职","边缘","市及","水域","骨干教师","培训基地","全面实施","同步增长","知名品牌"",","人事制度","兼顾","武警官兵","之旅","甲型","经历","正气","抽验","餐桌","
""总体","过硬","可持续性","
""第六","湛江","增长","六进","科技咨询","引擎","非金融","金鸡","公共绿地","营业税","外向","沙地","高等级","辉煌"",","来得早","提高","团队","综合楼","重点项目","易涝","缺陷"
"9","千里","滋生","合作开发","勇于","亿美元"",","沙地","当量","""需求","健康成长","进中","于田","奢侈浪费","顺利实现","介入","丰富多彩","宽松","财富","质量","亿人次","积极探索","态","访","防治"",","高中","有步骤","反","突破性","增加","
""援","对接"",","总体"",","弥蒙","生命安全"",","直排","标準","碳汇","因病","载体","回应","工矿区","增长","净空","家底","种植","互济","
""千亿元"
"10","商","禽蛋","木结构","比较突出","对户","博士学位","经济林","重大意义"",","供排水","经济布局","比选","韩","一议","洗衣机","共有","办事处","均衡化","办学","发展势头"",","苜蓿","长途","政权","武警部队","渗透","多亿元","解放思想","再生能源","保障","培","""三农","国有资本","科学","女子","瞪","使用率","当头","开行","基金","达个","品学兼优","农村","边陲","电工","传递","殷切期望","达克"
