"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48"
"1","增效益","调查","亿元","开征","横向","创汇","容错","团结一致","原创","走势","受灾地区","公用设施","工作","十六","精神文明"",","现行","险","巩固率","明天","教育经费","恶性","新面貌","乡乡","居住证","咬定","有待","心系","村务公开","换","电解铝","应届","网站","不利于","弹性","总额"",","各项任务"",","""行政","招聘","""设立","家属","同心协力","
""继续加强","小微","妇幼卫生","制糖","建成投产","态势"",","传导"
"2","过货量","供气","项目","精河","加工能力","露头","天合","俄","门诊","出版物","预备","下决心","经济","
""牢固","贝利","界","战略思想","部委","收支平衡","溪口","文盲","偿债","第五届","语言文字","权益"",","四纵","快速","同城","监督"",","拉大","电源","用心","伦敦","交通拥堵","很","实践证明","""一是","集团"",","
""去","黄赌毒","绒","公开","推向"",","美国","一盘棋","九次","企业经营者","第十四届"
"3","中学","社会科学","就业","信访","落实"",","一是","
""一是","联合国","商贸业","优化结构","紧密结合","转岗","增长","访问","实实在在","跨国","天津","""西部","丧失","商品房","站房","三牧","文化景观","开放"",","下坂地","呈贡","机关效能","锅炉","问政","移民","江泽民","以工","磷复肥","稳定增长"",","减轻","货物贸易","初级","政资","礼","虚","人工智能","教","国际","超标","责任"",","福利院","一倍","抽水"
"4","不确定性","原则上","教育","远程","证明","""教育","捐赠","在校","促成","核桃","使命","腊","社会","""保","限定","国际经贸","就近","心血","薄弱点","汤显祖","量入为出","支援","民族风情","向上","聚集区","海关","高等学校","政协","购并","拓展","社保","强化食品","华丽","数据","物流","台港澳","直通","
""协调","
""资源","石榴","电石","去向","阳朔","怒江州","经营机制","代表性","建立"",","职工"
"5","第次","蛋","推动","对台","工业化","民主集中制","紧密团结","光辉","乏力","国门","极其重要","过渡","重点","""回顾过去","敬老院"",","优美","富裕","服务行业","社情民意","通道"",","农机化","活","一业","进出口额","唯一","农事","事故责任","赞誉"",","""动能","
""民生","毫不放松","涉及","新疆大学","青壮年","厂","大通道"",","地区"",","地方病","灾民","原有","认亲","摇篮","临河","烯","
""充分肯定","亿吨"",","超级稻","确保重点"
"6","成份","临空","一批","职能部门","伤残","占补","整县","安源","畅通","新篇章"",","堂堂正正","""广泛开展","企业","更快","稳定性"",","合法","民办","外运","民办教育"",","预算","海铁","安全可靠","吸收","运行"",","拖拉","孟","江","教师队伍","融资"",","管权","对户","原材料","""农村","华东","漏洞","华银","排忧解难","零关税","宁波","签订","己任","""公路","不懈","岩滩","一类","明年","拥有","稅"
"7","柴油","总体布局","生活","
""非公有制","
""先进","扩区","符合实际","云岭","修建","引进外资","
""组织","偏小","提高","创","致富"",","闯出","空间布局","有度","暖心","政风","专家","药品","自由","节能降耗","洪涝","塘","价格","用到","""妇女","湛江","柳","水土资源","年前","供销系统","有偿","万亿元"",","越过","奋起","新兴","塑","丰收","前要","出生","
""旅游业","""方式","中华民族","中青年","制糖业"
"8","撤并","不正之风","能力","堵塞","部署"",","名牌战略","城乡","""防范","国际品牌","无私援助","取得实效"",","普通本科","实施","开发性","零散","宏观管理","执法权","遗留问题","用权","中后期","相衔接","美化","布局"",","获得成功","高起点","""环境","经办","制丝","向善","招投标","金","宣讲","纸","字号","联动"",","提高效益","黔","职业资格","""生产","储备库","预算外","检验"",","以呼包","深圳","所得税","
""电力","万户"",","接二连三"
"9","节能产品","古建筑","增强","取消","五大","促","涌流","起始","航空","增长点"",","招生","""先进","改革","所谋","招采","企业"",","久等","诚挚","汽车城","
""坚持不懈","""区域合作","维稳","红水河","第二个","程序化","饮水困难","生态化","供养"",","生存条件","覆盖","下乡","识别","熔炉","商业性","车载","亟待解决","万元","江等","重大责任","新进展"",","抗击","责任重大","家属","挖掘潜力","房子","萍","摸清","民汉"
"10","拥有量","突破","规划","资金不足","上涨","焕发","省会","自贸","前期工作","浙赣铁路","
""维护","扩量","农村","真贫","万元"",","吸引外资","签约","东北地区","高层","城川","传销","振兴"",","县通","工厂","彭泽","""取消","剧目","镇级","孜","趋好","南昌市","总支出"",","群众满意","解决矛盾","露天矿","""水利","滋生","蹄","盘子","频道","供需矛盾","实际效果","村寨","微笑","高载","""认真落实","磷","最少"
