"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49"
"1","出让金","优抚工作","养老保险费","懒","宗教观","""经济区","科研机构","每万","畜产品","蒙古语","
""水利建设","三个代表","数据库","户数","危房改造"",","还贷","职能部门","浪费资源","校企","优秀人才","防洪工程","""第二","调运","养老保险金","及时发现","理解力","化学","分子","换挡","灵活多样","覆盖率"",","区间","险","
""第三产业","独好","机床","科学管理","工作","进一步","""聚焦","养殖业","增长率","以城","普遍提高","职工群众","盐碱地","入市","兵团","办学"","
"2","三张","厕所","工资"",","里程碑","不出","""办好","低端","涉企","共性","""政务","公职人员","新馆","闲置","民营","增粮","宜业","入桂","精品工程","统计调查","契机","监狱","世博会","对个","""建成","木卡姆","木薯","亿人次","主轴","瑞","移民","民俗风情","平台"",","联席会议","前景","翻"",","""深化改革","落后面貌","经济","投资","""防灾","就读","忠于职守","合资","一产","退役","蔬菜基地","一份","品","配偶"
"3","经过努力","合理布局","奋勇争先","热爱","出栏","努力争取","邦","降低消耗","银牌","现货交易","清水","实效"",","烤烟","摇篮","市政府","批示","不强","明显改善"",","慰问","严峻形势","主导力量","市场供应","决策权","稳控","空港","主旋律","法制环境","新线","同步"",","托底","中华民族","免征","综合信息","通报","不动产","统揽全局","""解决","社会","就业","台北","南缘","创造性地","中低端","冷轧","苦干","较重","发展中国家","""抓紧","齐心协力"
"4","金鼓","""市场","隆重","""切实做好","大团结","动员","
""繁荣","合并","状态","""财税","城市防洪","档次","各项规定","为个","白沙","药业","银政","整乡","外资企业","薄弱","国际商贸","农信社","治","文史","实实在在","跨越式"",","
""科学","肉羊","出边","环湖","江苏","公司","产地","尽保"",","展现","灾难","年均","改革","创新","农贸市场","总结经验","治劣","取得成功","有机硅","石化工业","认真对待","从中","""中央","初期"
"5","喜迁新居","转场","实效","井","优良传统","纵深","缓解","""覆盖","第一个","式"",","集贸市场","棚改","课题","不断完善"",","保安","新昌","上升期","明显增强"",","健体","农林牧渔","行业协会","指示","融合"",","隐蔽","价值链","扶持"",","草场","
""增强","联合攻关","监督制度","以工","转业","第三","川","开拓进取","城市污染","丽","增长","水平","征集","农家","大陆","外企","汗水","赛维","""水利","财政收支","""努力","空气"
"6","政策措施"",","时代"",","示范区","下滑","培养人才","紧急","河套","勘察","科技型","治乱","措施","信江","
""十一五","普通本科","检验"",","共担","用人单位","求新","网络工程","名片","
""坚持不懈","人才辈出","""政府"",","典型","业态"",","省份"",","
""生产","样板"",","中小银行","局部","光电子","光荣传统","免疫","矿","穷","到个","
""和谐","农村","推动","决策程序","超额完成"",","开采权","脱离实际","盲目投资","作业","彝","花卉","农林水利","守法"
"7","银行业","文化娱乐","安居","较长","国家开发银行","代表团","外资","懒散","关丹","侵犯","用年","缅孟","违约","公用设施","劳动生产率","商贸","装潢","国资","黄土高原","喜人","矛盾"",","劲头","""国家","迎来","公路","人才队伍"",","上报","城市绿化","经合","国民经济","特许","注意力","飞地","特大事故","购车","续保","抵扣","亿元","支持","合理安排","贵金属","零配件","繁重","记录","标準化","
""公共","择机","广西师范大学","华商"
"8","地为","申请量","终点","食品工业","第位"",","良好基础","强镇","县","有度","选准","代管","农网","泵站","巩固率","梦想","电源","供水管","阔步前进","施肥","丽","麻栗","国际经贸","整体性","中药材","指标"",","消极","校园","内河","恩格尔系数","""累计","准确","气价","以下几点"",","三个","农林牧渔业","残联","第六个","重点","城市","高密度","档案馆","分析判断","汤显祖","条块分割","履行","砥砺","溶","储量","""扎实"
"9","万多公里","医治","浙商","了省","粮食市场","节俭","木结构","遵循","落到实处","""应对","产供销","大西南","城乡人民","优异成绩","创新型"",","路网","身子","四线","三废","準确","成熟","洪屏","
""民族","十五届","环境卫生","树牢","周","县市","有所不为","中小学","用人","候机楼","造血","农村","监督机制"",","箱","用电"",","实施","企业","国际性","国家","去年初","坚实基础","关切","快车道","中央苏区","直排","路径","中去"
"10","整车","微利","闽东南","不稳固","中央纪委","公里","清新","不严","热电","央企入","配套技术","进中","创建活动"",","信念","""正确","进城","发动","许可权","便利化"",","分公司","有限公司","杞","地市","间接","捐赠","一家亲","思想路线","专业人才"",","跨过","不利","总播","五彩","总理","内外资","二年级","衣食父母","根本保证","提高","市场","技术交流","""加大","腊","法律法规","""外贸","
""电网","独山子","专项"",","守望相助","截留"
