"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"1","经济","要带头","菜","服务站","教材","村委会","阵地","持续增长","诊疗","高技能","五五","顺利开展","有线电视","考核","
""根据上述","汽车产业","落地"",","营养","普通本科","冷静","态势"",","规范市场","城乡人民","""投入","纵深","场馆","商事","城镇职工","研究生","篇","一年"",","烟","违反","人为","违法行为","人口普查","了省","龙滩","改革"",","质量检验","选派","输变电","有个","
""节约","提高","调配","传染性","岱海","运作","落实政策"
"2","工作","公共事务","图谋","居安思危","""第五","孟","粮食产量","降碳","复明","第二台","国家"",","小康生活","常住","营养","测绘","血吸虫病","城市"",","市民化","铺轨","""党","备战","专线","主力","感谢"",","统分结合","市政府","备案","原有","苜蓿","之忧","公安干警","至都安","
""体育事业","培育出","年月日","职级","电量","""新增","技术引进","争当","光辉","银行信贷","依法行政"",","恶劣","制度","统一规划","辜负","
""扩大开放","不减","本土"
"3","增长","流入","年薪制","随机","配偶","先进","畅通","""信息","每村","相适应"",","禁止","后返","食用油","标志性","事故","文化教育","主体工程","双层经营","树皮","限批","便民服务","运","局部","""环境","类产品","林下","合作伙伴","带动力"",","扩散","济困","大县","发电厂","思变","改厕","
""回顾","力作","积极支持","提高素质","决不能","用途","国资委","刹住","控制目标","
""不断加强","支持","高载","科技推广","有效率","石城","打黑"
"4","社会","会议","公园","
""全力","蔚然成风"",","普通商品","主题","呼市","实","硬","万张","十百千万","管理体制"",","联控","山地","价格政策","""民族团结","光机电","外部","业态"",","经济林","只争朝夕","总部","深远","分配机制","企业化","""工作","铝合金","大众化","服务水平"",","实招","有权","轮式","对话","
""代表","根本任务","明晰","刚刚","万多户","正菱","根本性","家园"",","均等化"",","采矿权","水平","强县"",","有色","有效途径","村通","主辅"
"5","重点","十一五","港口城市","白龙","工农","党代会","平","全面推行","清廉","成绩显著","工业"",","安居工程","乡村"",","侵财","国际友人","公共信息","富港","总理","外汇收入","实施细则","客观规律","快速增长"",","红树林","稳疆","煤矸石","新居","
""创新","首期","经合","用人单位","防火","人心","用户","大楼","草食动物","劲头","逐步提高","
""区域性","达个","""先进","科研项目","竞赛","
""支持","小矿","生产","道路"",","单","消防安全","不骄不躁","生物学"
"6","企业","双十","
""支持","兑付","后发","农牧业","普查"",","力度","资金"",","
""郑州","""强化","废除","昌都","甫","管理人员","无毒","连续性","泰","智库","语","工青妇","缺电","和昌九","丝毫","基地化","尽力","第十四届","一倍","稳中有升","涉诉","较快"",","风情","稳固","""方式","多办实事","资源税","不快","坚决执行","起数","海水","特产税","现行","供热","吨粮田","工业","寄宿","林田湖","问效","高潮","抓实"
"7","实施","
""年是","封山育林","广开","门路","国际品牌","十百","劳资","游客","执法机关","物流园","负责制","地级市","罚没","人寿","轻轨","
""政府","工程进度","
""切实","考入","五县","南段","社科","进口额","脱钩","协会","取得实效"",","筛选","领先"",","鹰潭市","虚","识别","质量第一","等家","盖度","座谈会","总投资额","既利","
""增进","续保","占用","扩","七一","牛玉儒","综合","安居房","重特大","老弱","津贴","加强监督"
"8","改革","新亮点","建制镇","条块分割","不断改进","建成"",","
""推进改革","整装","合理流动"",","衡","补偿金","留人","种养加","储运","质检中心","报酬","人民武装警察部队","服务业"",","主骨架","污水排放","""贯彻","财会","异常","践行","服务水平"",","服务室","病","日益","生命安全"",","呼图壁","嫩江","国家电网","期望","就近入学","公立医院","非税","转包","短期","居高不下","帽","造福","个人信用","民间组织","自重","合作","封关","沟通","到家","电子商务","林权证"
"9","农村","锌","早期","根本宗旨","车马","昭苏","ppp","
""适度","两站","开征","器材","降费","环境质量","马山","干部","经验教训","氛围"",","高附加值","治国","三房","
""发挥","发展壮大"",","适用房","大中型","跑冒滴漏","近倍","行动计划","沃土","精彩","下应","五五","装机","筹集","新闻媒体","各项规定","商品流通","群众路线","印尼","化解"",","潮流","递增","
""齐心协力","民族平等","公共交通","能力","专业人才","温暖"",","注重","登记制","以身作则"
"10","亿元","环评","探险","小水电","
""打好","氛围","中国移动","无私奉献","敏","
""加速","财产","
""教育","""国有企业","优异","市场导向","食","亮点","监督制约","国际商贸","
""廉政建设","对标","过货","东亚","周边国家","束缚","信用贷款","成本上升","千吨级","伦敦","五彩","钢铁","劳模","""优势","家具","摆到","粮仓","公众","邪教","政绩观"",","露天","各省","保险费率","征用","深化"",","行政","屠宰场","水源","阿尔泰山","楼","抢修"
