"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","社会","草原","工作","绿色通道","低碳","联产","国际贸易","农区"
"2","改革","开","实施","尚未","高新区","产销","洱海","县政府"
"3","亿元","以权谋私","企业","""认真贯彻","五位一体","以大","边海防","增效益"
"4","增长","民办","经济","商品交易","全局","下滑","广泛开展","妇幼保健"
"5","工程","院士","文化","内陆","腐败","民居","根本途径","集团"
"6","提高","农村卫生","进一步","调整机制","退税","绕城","分子","各具特色"
"7","投资","边远","就业","破产","驻赣","很大","
""工业","高科技"
"8","经济","""十二五","创新","出国","店","中小学生","便利","地震"
"9","政府","准","制度","积极主动","法律意识","三区","提前完成","区"","
"10","项目","西气东","水平","油田","临海","积极性","""高度重视","升级版"
