"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","增长","足球","四川","流浪","组织化","文化","就业","物","达标排放"
"2","经济","低收入","中药","边远","名胜区","社会","抓好","务必","阵地"
"3","工作","""农业","开发","明显好转","复杂多变","提高","力度","石漠化","特高压"
"4","重点","简政放权","油田","""电力","兜底","农村","工业","翻译","逆势"
"5","改革","财产","同价","横向","居住证","支持","生态","尼尔","深深"
"6","亿元","更快"",","体制改革"",","频发","关","实施","政策","赢","富"
"7","企业","指标","铜鼓","集约化","出省","群众","深化","游","旱灾"
"8","政府","作风","六是","高铁","舆情","城市","努力","村委会","软环境"
"9","完善","抵制","经济犯罪","浪费资源","切实有效","创新","行政","力戒","不高"
"10","项目","一户","降到","周转","国家验收","推动","保障","吞吐能力","评议"
