"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","摩托车","舆情","服务水平","煤炭资源","违纪","海上","增长","效果","干线","城镇","工作"
"2","云岭","社","类型","电源","以人为本","财政补贴","社会","巩固率","阳光","党","经济"
"3","明","圆满","专利申请","黄河","财","中央","制度","统调","特","金融","重点"
"4","切实有效","格局","亿亩","孩子","收缴","后备力量","体系","航班","国际商贸","产业化","提高"
"5","失地农民","无效","通电话","稳疆","驻村","锡","一批","年金","开发新","自主","实施"
"6","人才资源","纪念馆","一票否决","九年制","取暖","凡","提升","部际","兴安盟","公开","企业"
"7","新机遇","迪庆","灌区","一卡通","乌鲁木齐市","职工群众","保障","决心","信息系统","民族团结","农村"
"8","及时发现","废物","传播","聚集区","一事","涌现出","做好","特殊人群","保护区","登记","亿元"
"9","牵引","途径","中小学校","税务","科技推广","退耕还林","生活","人","放映","成果","工程"
"10","外部","认真执行","拉大","最终","经常性","l","资源","夺取","公","繁荣","改革"
