"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","体系","强化","向北","供水","标志性","党","净增","纠错","工作","配电网","转化率","横向"
"2","生活","城镇居民","税务","大关","内部","院士","外交","知名企业","经济","各具特色","违法违纪","产权交易"
"3","改善","部门","又快又好","智能化","判断","分裂主义","保鲜","红水河","增长","体制性","火灾","首个"
"4","战略","形势","精神力量","建成","良好基础","规范化","进村","粮油","社会","拥护","指标体系","治疗"
"5","经济社会","传统","人为","法制观念","形态","省直管","星云","书屋","提高","维修","持之以恒","泰"
"6","优化","乡镇","平原","示范园","医疗保健","占用","转移性","战略重点","实施","挤占","省部","同网"
"7","保护","失业","学科建设","预见性","激烈","舆情","兴安盟","四是","企业","疾苦","区域环境","负担"
"8","增强","重视","交流会","贫困生","人事制度","收购价格","一等奖","注册资金","重点","会风","前瞻性","科学合理"
"9","力争","营造","公益事业","大地","经济犯罪","拥有量","情","平等竞争","改革","职工收入","滇东","医疗"
"10","中心","煤炭","多边","农业产业","兴国","直升机","雨雪","拨付","农村","会展业","不为","农信社"
