"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","社会","一批","饮用","京津","美好前景","迈上","玉","注册资金","心脏病","超低","不折不扣","两大","督促","工作"
"2","重点","行政","至少","养殖场","卓有成效","低成本","起到","人口老龄化","功","调整机制","类项","特色化","俄蒙","经济"
"3","提高","环境","灌溉工程","大中小城市","能源","中游","赛事","二元","栽培","明显增强","应收","科学性","关","增长"
"4","改革","亿元","新气象","农村基层","播种面积","实际行动","合校","三牧","业绩","获准","用好","第个","从今年起","实施"
"5","农村","建成","稳疆","搬迁","明确提出","各项改革","茶","文化名城","居委会","自由贸易区","以党","治疗","社区服务","产业"
"6","工程","民族","重化工","解决","芳烃","自贸区","沃土","农村教师","医疗","高等职业","纠风","抗","优美","项目"
"7","就业","全国","航站","清单","普通本科","教","可操作性","省区市","区域规划","银行贷款","地理","大省","理顺","进一步"
"8","政府","人均","号","总体方案","南岸","教学质量","用房","实施办法","博士学位","外销","回首","勇气","致贫","完善"
"9","亿元","能力","于民","黄标车","学院","自强","尊严","控股","教训","远程教育","顺利开展","面前","供气","投资"
"10","加大","引导","链条","责任保险","新路","求新","力推","过硬","之多","废水","唱响","在思想上","发展壮大","文化"
