"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1","保健","边远地区","宽裕","冰冻","员工","工作","入园","准则","实施","科研成果","四大","畜","扬尘","万元以上","第九届"
"2","广州","金融危机","荣辱观","自然生态","采伐","增长","d","工程质量","政府","引发","行政监督","利用效率","共有","中医药","计算"
"3","绿水青山","底线","国民教育","伊犁河谷","大奖","社会","核桃","实干","进一步","植被","精细化工","换届","果","远程教育","户户"
"4","地理","高度","在校学生","清正廉洁","批发","经济","取得实效","住院","支持","多条","组合","用足用","知情权","公务","青年"
"5","职教","黄金水道","改为","第一次","休牧","提高","新线","价格上涨","抓好","博会","廖坊","解决问题","慈善事业","行政监察","江泽民"
"6","一人","区域规划","明显好转","公共设施","劳动生产率","改革","外包","脱困","重点","赶超","公用事业","经济圈","职工群众","民","几个"
"7","光电子","本土","下滑","大程度","政企分开","亿元","丰富多彩","新疆生产建设兵团","力度","霍林河","收支","严控","界","初步","优做"
"8","垄断","维权","水能","报批","继续前进","农村","体制改革","分配机制","城镇","意志","收入水平","丰富多彩","城乡人民","考验","懂"
"9","鄱","安全可靠","昂扬","投资规模","二产","工程","煤炭资源","电动汽车","机制","软","景谷","世界","切入点","边疆民族","汇聚"
"10","群众路线","碳汇","扩","明","坪","完善","船舶","重大事故","基础设施","半","乌梁素海","四中","吉","每人每年","事权"
