"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","停止","外交","区域环境","旅游胜地","增长","工艺","相互","边疆","经济","出境","水务","之风","测绘","各方","一岗双责","贫困人口"
"2","畜产品","打赢","时间","十五届","产业","人大常委会","十二届","积极探索","工作","家属","科技事业","标准化","渡","餐饮业","综合信息","强桂新"
"3","津贴","有效途径","全局性","拉长","工程","炼油厂","营业税","城镇化率","重点","一品","有限","光明","江泽民","翻译","新钢","超常规"
"4","前瞻性","市场监管","华东","配套措施","投资","传递","兴赣","二期工程","改革","呼","事权","兴区","发掘","五县","石油工业","旅客"
"5","交给","尽快","水土保持","关闭","文化","基本思路","除恶","合作社","社会","难","感情","管制","激励","税率","低保金","复杂性"
"6","例","新港","国民收入","泛珠三角","加大","上规模","城镇群","筹集","企业","纪念","俄","主动性","意愿","临时","消防","滇西北"
"7","清醒认识","非金属","补贴","以工代赈","提高","安居房","转机","传统","进一步","住房","深感","信息安全","深入调查","棉纺","用权","年金"
"8","教学质量","千万","南向","年来","水平","国债","八条","素质","项目","依法惩治","汽车产业","过坎","农村信用","双十","核","新亮点"
"9","勇于","风力","信托","农林牧渔业","教育","标準化","审计工作","医疗保险","实施","脱节","环境治理","虚假","开好局","光彩","恐怖","核心技术"
"10","牧草","城市绿化","若羌","县","农村","治桂","外向型","祖国","完善","养殖场","大西南","基本纲领","山南坡","黄金水道","边防","第八次"
