"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","起步","市场占有率","态度","振奋精神","深感","梯度","省直","成交额","共性","埋头苦干","修编","实施","水利建设","临海","社会主义","经济","审查"
"2","中蒙","制药","精品工程","玉柴","有限公司","碳","交易会","结对","培养","开拓","营业额","投资","压减","泛亚","公共","工作","四方"
"3","责","七届","城中村","部门","白血病","能量","荒漠化","井","国有产权","赣商","干流","文化","疾苦","提高素质","工业化","增长","生态农业"
"4","红十字","艰苦","蒙古","取水","贯彻","输气管道","指标","咖啡","保护主义","惩处","籍","创新","文化站","服从","核心","社会","税"
"5","友谊关","老人","牢","联结","食糖","采选","妇幼卫生","落实工作","高危","一票否决制","开工率","农业","菜篮子","对下","中小企业","提高","马来西亚"
"6","敌","养殖","商","转轨","主干网","新疆大学","庆典活动","海事","中介","三千","网络体系","水平","原产地","学院","风险","企业","销售额"
"7","整体","创办","看病贵","截污","贷款风险","解决困难","乱罚款","更为","加工水平","挂","向北","群众","第二届","专项斗争","深化改革","农村","北斗"
"8","隆林","确认","趋缓","周年"",","未用","特色化","民力","实用技术","勇于","云岭","承包经营","国家","污染源","浆纸","龙头企业","亿元","沧源"
"9","番茄","专家","负债表","旅游景点","电子化","第篇","执法水平","宪法","修造船","产学研","五小","城镇","零增长","贫血","职业","改革","办事效率"
"10","解困","南向","高原","问责","代表团","即期","改为","形态","气热","优抚","极","资金","购车","第十二届","推广","重点","结余"
