"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"1","百亿元","上同","残疾人运动会","遭受","家庭经营","高效率","集团公司","航空公司","保护","卫星","勇于","一道","企业","金沙江","优先","强镇","乘势而上","经济"
"2","三位一体","出行","一体化","抗灾救灾","疫情","违法","评为","忧患意识","省会","及时发现","凸显","原有","改革","特","建设项目","历任","润","增长"
"3","可操作性","天气","银川","加工能力","澳门","善","展","港区","安置工作","货币政策","无愧于","很大","农村","边海防","房地产","星火","昌","社会"
"4","求新","亿千瓦时","婺源","规律","民主权利","办结","服务站","紧日子","语言文字","关心群众","发生率","自主权","工作","个人账户","新区","集资","万多","实施"
"5","同城化","各市","九是","承接","口","企稳","承包","长水","草原","目录","前所未有","品牌战略","投资","非农","城镇化率","治理","班轮","重点"
"6","动植物","上下游","亿多元","民用","日韩","乐业","福利院","解","老年","面","放手","名录","提高","做起","型","第五","生产资料","亿元"
"7","缺乏","难题","及早","硬","事迹","名牌战略","更新改造","联通","国土","套种","民俗文化","追","文化","岭","产量","转到","圆满","政府"
"8","蔗","颠覆","金山","梦想","硬质合金","翻","宪法","定点","服务体系","舞蹈节","固体废物","留人","水平","保健","适度","产出","公安干警","工程"
"9","不大","隘岭","失职","赣抚","插手","成长型","市场供应","名牌","要准","定","暖心","面前","支持","生机","富余","黑臭","积累","产业"
"10","加重","排第位","转移性","租赁","打招呼","英","主产区","学科","高校学生","出行","思","履职","推动","主力军","党","埋头苦干","超出","进一步"
