"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"1","先试","跨地区","住房问题","增至","电子政务","亿元","退耕还林","广大群众","造福","水务","工作","民用机场","各族人民","节庆","腐败体系","完备","大石","十是","经济效益"
"2","艺术创作","吉泰","敏感","考古","大会战","农村","忘","立体化","分子","标志性","经济","建房","征程","深深","节能","乳","头脑","紧迫","筹划"
"3","偏小","成长型","信念","援建","礼","抓好","交通网络","并网发电","传递","驰名商标","增长","手续","公司法人","塘湖","改造","人员","木薯","风景线","每月"
"4","憨","党和政府","享受","水权","评议","工业","矿业权","河长制","播种面积","入境","社会","感谢","积累","核心区","昆","科普","口","下坂地","蒙药"
"5","扭转","澳门","电解铝","领先水平","分工","做好","年月日","开创","两广","行必果","实施","世界级","呼市","卷烟","勘探","万辆","经历","整乡","普惠"
"6","市场经济","划分","第三次","极其","文章","资源","占有","亿","容量","赣东","提高","劳动报酬","参与权","督办","顽强拼搏","霍林河","迈上","一等奖","运营"
"7","血吸虫病","l","控","导航","审查","行政","气力","医疗机构","金属","防范","企业","航站","江钨","产量","各项事业","助","稳定性","残奥会","简单"
"8","有限","潜能","地缘","明年","确保","新增","排忧解难","以城","精神风貌","适销对路","重点","抵制","藏区","社科","拥有量","外部环境","犯罪分子","退耕","路上"
"9","示范园","合理配置","五次","户数","公用事业","环境","机动车","唇腭裂","法治","兰新铁路","改革","第六届","桥","相抵","省区市","减灾","提倡","想办","心血"
"10","分级","后备力量","生态效益","山口","邦","事业","菜","技术协作","严格控制","武汉","产业","畜产品","日用","农畜产品","下移","同胞","高素质","园艺业","办公室"
