"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","工作","世界级","大接访","奖","速生丰产林","以新","制订","社会","销售收入","港澳地区","出行","干部作风","江","生机","居住证","基层干部","洪涝灾害","感情","稅收","整治"
"2","经济","同比","求变","扫除","良性","羊肉","餐饮业","国家","投资规模","思想观念","矿","数据","公仆","功能完善","贫困生","惠牧","老有所养","形势严峻","起草","主业"
"3","增长","产品质量","第届","满意度","铝业","常态","投入使用","市场","全线贯通","捐赠","总揽全局","万亿","履职","责任意识","辉煌","标準","第十二届","双园","各部委","财政困难"
"4","重点","合作开发","战略地位","三产","工艺","南向","不准","综合","桂港","购销","表彰","拥政爱民","托养","明显改善","政协委员","贺州市","跃上","五项","强","接访"
"5","企业","双向","积蓄","华","同等","吸纳","油料","增强","公共服务","那拉提","公司法人","减免税","南缘","致贫","借助","玉龙","不断加强","轻工业","高层次","偏低"
"6","改革","外向","参合","光辉","跨部门","财经纪律","个人所得税","落实","武汉","佳绩","入世","先天性","人大","纵深","浙江","显著成绩","银行业","广州","财政","新馆"
"7","提高","剥离","致远","本质","科技兴农","人工智能","兴旺","新增","北梁","极其","动能","作用","客观","水产品","力戒","中心镇","废气","交给","资格证书","普通本科"
"8","农村","特种","数控机床","山","本土","年金","就医","增加","下一代","理解力","目标","网络覆盖","武夷山","宏观政策","博斯腾湖","基础薄弱","航电","煤制","闯","物质基础"
"9","实施","红色","科技人才","村容村貌","亚洲","增值","众创","保护","查验","种业","档案馆","轮作","直航","众志成城","做实","检测","就打","歌会","种植","欺诈"
"10","产业","六项","初见成效","前期工作","空气","原料","增至","规划","定价","办事效率","决议","钦防","一家亲","区别对待","企业债券","明显改善","手机","八大","讲话","沙地"
