"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","都市","电子信息","所属","示范点","下行","不大","代","便民服务","打牢","完善","干部职工","展望","毫不放松","硬任务","全会","理想信念","分支机构","安全隐患","交易成本","工作","棚改"
"2","背景","富集区","巨人","定力","企业债券","科学","较快","公平","学习型","制度","生物质能","抗灾","啤酒花","相互","后续","低价位","业绩考核","略有","经营型","经济","积极主动"
"3","结构合理","装机","寻乌","车辆","意志","分解","过硬","率达","减少","创新","六届","中欧","以工","下岗","采购","柴","娱乐","化学工业","七五","增长","企业家"
"4","稳妥","准则","经贸","汉","查","管理机构","企业信用","履职","龙州","农业","牧草","低收入","主导力量","乐业","纠风","航班","不懈努力","第二条","热点问题","社会","柳东"
"5","交通网络","授课","力作","辛勤工作","精準","建好","民力","向北","生产布局","国家","许可法","统揽全局","粮棉","直升机","抢救","就业机会","民心工程","盐业","自律","实施","尽收"
"6","生物工程","减贫","省级机关","第四轮","私营","非农产业","降费","专业性","沿黄","抓好","水源","牛羊肉","证券公司","艺术创作","关键设备","充满","语言","从根本上","中国人民解放军","重点","非金属"
"7","环境影响","唇腭裂","规范化","提供","在校生","捐赠","形势","大厦","新品种","一批","为个","实施办法","对台","县","人均收入","民居","福利","按规定","大地","提高","比上"
"8","求新","普惠性","农资","责任意识","弱","合理流动","深厚","创优","城中村","生态","各市","国家标准","近倍","更趋","发","极端","认定","保险市场","须","企业","拨款"
"9","旧","共青","接收","作风","滚动","房价","爬坡","舞蹈节","新一届","机制","村务","加密","控制力","低保金","饮用","用来","上大压","铜镍","省内外","农村","新亮点"
"10","党委","余额","缩减","爱国主义","水价","子孙后代","办事处","合浦","增创","做好","良好氛围","规范","黄桶","实质","追究","犯罪分子","落地生根","短","潜在","亿元","脱贫致富"
