"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"1","经济","市场","客","应保","标志性","兴农","村容","能量","民族平等","争创","环境保护","项目","立","保安","荒漠化","长廊","湘桂铁路","发展史","侧","游戏","复杂性","同步","商"
"2","工作","群众","管网","毛","呼市","所在","老同志","发电厂","稅收","生产率","频繁","国家","涉及","潜在","项目管理","民意","求","死亡","脱困","油气","沙化","养老金","空间布局"
"3","增长","深化","中泰","互利","工业产品","宜州","万口","翻了一番","用年","稳定物价","芯片","城镇","集中供热","金融业务","禁令","蔗糖","权力","河道","吨","体育中心","分级管理","国防建设","天山"
"4","社会","强化","交流中心","优良率","碳循环","作出贡献","市容","江铜","八大","位","许可权","能力","资本运作","顺利开展","极端","造地","投资总额","大灾之年","联","纺织","民间艺术","防汛","宜居城市"
"5","提高","收入","大力推广","外事","自行车","一并","融资难","收支平衡","中间环节","一户","牧业","农业","国土","修建","呈贡","层次","回应","南岸","在工作中","远程","交换","两位数","水利水电"
"6","重点","城乡","回顾","患病","高效率","待遇","独好","趋利避害","急诊","根本途径","锡","科技","宗教","凤","危险","净土","呼吸","多方面","言必信","无望","东西部","辉煌","稳定性"
"7","实施","地区","外贸企业","懂","坝区","份额","体育产业","组团式","泉","牢","铝","资金","久等","无私援助","优良率","客运","外源","中心站","一业","定价","以下几点","宝贵","图"
"8","改革","行政","人和事","电化","放","医疗卫生","回乡","集","担责","就学","科学研究","切实","自力更生","富","三中全会","平均","矿电","水面","县通","乱收费","慢性病","国有土地","越过"
"9","农村","改造","劲头","引进外资","收获","外资企业","明显增强","重视","连队","文明礼貌","阳朔","开发","铁南","石榴","探矿权","办理","津贴","股","品德","火炬","多于","都","认证"
"10","亿元","财政","职权","改组","磅礴","部际","超额完成","整洁","文物古迹","水网","西双版纳","鼓励","互惠","第三轮","大中专","构建","裂变","募集","乱收费","假","由家","互惠互利","码"
