"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"1","信息安全","投融资","期","市","迈进","奖学金","严惩","财经","于田","方式","讬","控制","乏力","普遍提高","社会","鼓励","运","实用技术","普通高中","筛选","工作","经纪人","富集区","就打"
"2","尾矿库","柔性","持股","比赛","绘","品牌战略","行政效率","头","师资队伍","新型","蒙西","小城镇","除恶","精心组织","提高","变为","一岗双责","微观","隐蔽","昌河","经济","一类","充电","节材"
"3","合作开发","撤并","扩能","标志性","市场调节","边境县","群众路线","护理","污染源","工作组","供","泛珠三角","重大任务","老有所养","工程","风情","短缺","天","技术推广","水价","亿元","上大压","天数","物业"
"4","占用","地质矿产","顺畅","宏伟","违规行为","极为","上年","绝大多数","过渡期","同网","企业信用","分析","生活必需品","降本增效","政府","撤地","减弱","征税","横向","以大","农村","主通道","团体","一抓到底"
"5","辜负","离任","华商","差异化","新工艺","彭泽","煤炭","产业群","开辟","黑恶势力","财源","农民收入","数控机床","装配式","项目","石滩","业绩","清除","加剧","出栏","改革","宜州","贴近","居家"
"6","句号","京九","治桂","少生快富","规范化","回收","流通业","信托","共生","库存","抢抓","严禁","万平方公里","抬头","进一步","疏浚","交流中心","治国","学法","多件","增长","桥头堡","一号","国省"
"7","千万","自由贸易","兴安","优异","招收","和硕","百年","大程度","下坂地","资格证书","大学生","担当","工匠","砚山","就业","由年的","腐败现象","证","全局性","短","企业","低保户","残运会","水面"
"8","奢侈浪费","第至","小水电","家属","廉租","优强","之区","病","三要","飘浮","协会","针对性","都市","扬尘","经济","外部","挂","电子化","区域","监管区","投资","医科大学","根基","入赣"
"9","塔里木河","跨海大桥","一条","新亮点","总理","藏","心血","特殊政策","趋紧","市场份额","麦","守住","决胜","企","创新","万达","勒","磨","约","缺水","产业","二甲醚","交给","租"
"10","小区","伟大胜利","亿度","中介机构","浓郁","机动车","省内外","讲话","d","外力","由家","钢","自觉性","绩效评价","加大","万亿","职务","懈怠","投资体制","赣东","完善","特征","消除","专家学者"
