"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"1","工作","迈向","辛勤劳动","预备","频繁","努力完成","社会","主体作用","改革方案","核电站","诚信教育","位","开工率","提高素质","售假","涌流","格局","历年","堤防","颁布","时限","绘","手术","后证","科学知识"
"2","经济","空间规划","军民","减轻","以下几点","占用","实施","反哺","发起","农户","创优","新闻","指导性","咖啡","新一极","输配电","界限","蚕茧","三证","光","交流活动","铁山港","七个","疆","水权"
"3","企业","分类管理","密集区","广度","拨付","新昌","农村","容量","感情","科","定期","全日制","强市","支农","现行","产品产量","烯","水产业","煤制气","友好城市","粮棉","有序","尊严","迁移","具体办法"
"4","亿元","精神力量","l","并轨","办公用房","源头","提高","治疗","开行","土壤","羊绒","瓷","明晰","相比","资源整合","运","顽强拼搏","可望","接种","规矩","丽","技改","遗留问题","胶","运动"
"5","完善","库车","问计","贫困学生","发达国家","材","增长","广泛应用","筹建","竞争性","严格要求","于民","实践证明","是从","砥砺","陆上","民主选举","兰州","老有所养","外向","决定性","播种面积","约","艰苦奋斗","接待费"
"6","文化","低收入","东巴","意愿","公安","计划生育","工程","高起点","集中供热","白城","疑难","项目","宝贵","室","南方","植树","再生","溪洛渡","崇左市","休闲","做起","宏观调控","岗位补贴","劳有所得","发生"
"7","项目","起草","五年","改制","第三批","贫困面","进一步","城等","面广","兴边","移交","稳定物价","赣东","呈现出","管控","政绩观","滴灌","集宁","武装","施","网络管理","稳中有","消防安全","参事","积极进取"
"8","加大","修建","住房条件","园艺业","完工","支牧","改革","占有","生机","治国","班轮","防线","机器人","附加值","本省","沃土","拥有","烯烃","决胜","星火","分不开","引进","职教","认真落实","南方"
"9","支持","这项","拓展","d","奖项","近万人","投资","平方米","利民","药","大江","非农","详细","分级管理","过货量","等国","跟踪服务","种养业","强省","伤害","清","党的路线","来宾市","破","奎"
"10","体系","奶类","奔小康","和谐","中共","收缴","重点","积极性","名片","潭","上市公司","小草","集成","脚踏实地","爱民","地下水","环节","安心","慢","田东","半停产","全党","珠江三角洲","宜人","报刊"
