"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"1","过渡期","政府","西南地区","管理体制","转到","左右江","严格执法","经济","掀起","就业","部省","厂务","光缆","塘湖","专家","清欠","兴疆","服务站","信任","乳品","改为","日韩","条例","马中","兼顾","愿望"
"2","卓有成效","完善","河道","学","试行","用法","扩区","工作","模范城","城市","一视同仁","消费市场","要准","诚信教育","管人","里","腐败问题","从元","高等学校","大力提高","非公","金鼓","灵活性","发动机","浙赣铁路","爱国卫生"
"3","财产","投资","形式多样","航空公司","一系列","为本","灌溉工程","增长","旗帜","落实","成本低","病虫害","建党","一体化","机构","坪","医保","持之以恒","大程度","数","多样","黑","考试","革除","流出","防御"
"4","一标","产业","旅游区","以工代赈","安心","个性化","冶金","社会","率达","行政","农村教师","轴","业务素质","节","企业化","代","法制环境","展示","产权保护","免费","办理","指导员","通高","牧民","首要","占有"
"5","不因","文化","着眼於","万套","公正执法","践行","死亡率","实施","前移","改造","科技事业","钽","奖学金","执行力","改正","物","务虚","名特优新","查询","入住","研讨会","地条钢","工作站","内需","问责","来访"
"6","利为民","体系","承受","极为","走低","所用","证券公司","企业","疏导","旅游","光明","应诉","提标","单投","包头市","政府","综治","消费观念","国省","至硕龙","持股","高新产业","创新力","新生代","电动汽车","全日制"
"7","工程款","教育","酒","盐","文艺演出","储备粮","东西部","农村","友好城市","人才","花卉","外运","职工工资","曲靖市","同心","关停","意志","谋求","美元","食糖","价","基点","思茅","健全法制","滴灌","员工"
"8","奉献","提高","人类","浪费资源","亿多元","乡政府","所在地","工程","变为","新型","游客","后顾之忧","宝贵财富","电讯","及个","转让","内生","严厉查处","提前完成","集散中心","出列","历史使命","全线","全国人大","诈骗","救援"
"9","废气","生态","通等","脱钩","经营机制","受助","末","进一步","接入","规模","提速","位","载人","自来水","黎湛铁路","用心","消化吸收","头","境外","铲除","装载机","地县","好头","额度","在线","不竭"
"10","税务","服务","增至","产量","根基","糯扎渡","多办实事","项目","终身","万","示范作用","周岁","织","金融部门","首台","脊髓灰质炎","武夷山","冲击","形象","占全","核","百亿","十七","红河州","品位","技术培训"
